Timestamp,DMC Building 1 Fahu_B1 Discharge-Air-Temp-Sensor,DMC Building 1 Fahu_B1 Discharge-Air-Temp-Sp,DMC Building 1 Fahu_B1 Discharge-Chilled-Water-Cool-Valve-Cmd
2024-04-01T00:00:00+04:00 Dubai,24.8885746,22,0
2024-04-01T00:05:00+04:00 Dubai,24.8885746,22,0
2024-04-01T00:10:00+04:00 Dubai,24.8885746,22,0
2024-04-01T00:15:00+04:00 Dubai,24.8885746,22,0
2024-04-01T00:20:00+04:00 Dubai,24.8885746,22,0
2024-04-01T00:25:00+04:00 Dubai,24.8885746,22,0
2024-04-01T00:30:00+04:00 Dubai,24.8885746,22,0
2024-04-01T00:35:00+04:00 Dubai,24.8885746,22,0
2024-04-01T00:40:00+04:00 Dubai,24.8885746,22,0
2024-04-01T00:45:00+04:00 Dubai,24.8885746,22,0
2024-04-01T00:50:00+04:00 Dubai,24.8885746,22,0
2024-04-01T00:55:00+04:00 Dubai,24.8885746,22,0
2024-04-01T01:00:00+04:00 Dubai,24.8885746,22,0
2024-04-01T01:05:00+04:00 Dubai,24.8885746,22,0
2024-04-01T01:10:00+04:00 Dubai,25.03792763,22,0
2024-04-01T01:15:00+04:00 Dubai,25.03792763,22,0
2024-04-01T01:20:00+04:00 Dubai,25.03792763,22,0
2024-04-01T01:25:00+04:00 Dubai,25.03792763,22,0
2024-04-01T01:30:00+04:00 Dubai,25.03792763,22,0
2024-04-01T01:35:00+04:00 Dubai,25.03792763,22,0
2024-04-01T01:40:00+04:00 Dubai,24.88817596,22,0
2024-04-01T01:45:00+04:00 Dubai,24.88817596,22,0
2024-04-01T01:50:00+04:00 Dubai,24.88817596,22,0
2024-04-01T01:55:00+04:00 Dubai,24.73852921,22,0
2024-04-01T02:00:00+04:00 Dubai,24.58999252,22,0
2024-04-01T02:05:00+04:00 Dubai,24.58999252,22,0
2024-04-01T02:10:00+04:00 Dubai,24.44034767,22,0
2024-04-01T02:15:00+04:00 Dubai,24.44034767,22,0
2024-04-01T02:20:00+04:00 Dubai,24.29181671,22,0
2024-04-01T02:25:00+04:00 Dubai,24.29181671,22,0
2024-04-01T02:30:00+04:00 Dubai,24.29181671,22,0
2024-04-01T02:35:00+04:00 Dubai,24.29181671,22,0
2024-04-01T02:40:00+04:00 Dubai,24.29181671,22,0
2024-04-01T02:45:00+04:00 Dubai,24.14264679,22,0
2024-04-01T02:50:00+04:00 Dubai,24.14264679,22,0
2024-04-01T02:55:00+04:00 Dubai,24.14264679,22,0
2024-04-01T03:00:00+04:00 Dubai,24.14264679,22,0
2024-04-01T03:05:00+04:00 Dubai,24.14264679,22,0
2024-04-01T03:10:00+04:00 Dubai,24.14264679,22,0
2024-04-01T03:15:00+04:00 Dubai,24.14264679,22,0
2024-04-01T03:20:00+04:00 Dubai,24.14264679,22,0
2024-04-01T03:25:00+04:00 Dubai,24.14264679,22,0
2024-04-01T03:30:00+04:00 Dubai,24.14264679,22,0
2024-04-01T03:35:00+04:00 Dubai,24.14264679,22,0
2024-04-01T03:40:00+04:00 Dubai,24.14264679,22,0
2024-04-01T03:45:00+04:00 Dubai,23.99358559,22,0
2024-04-01T03:50:00+04:00 Dubai,23.99358559,22,0
2024-04-01T03:55:00+04:00 Dubai,23.99358559,22,0
2024-04-01T04:00:00+04:00 Dubai,23.99358559,22,0
2024-04-01T04:05:00+04:00 Dubai,23.99358559,22,0
2024-04-01T04:10:00+04:00 Dubai,23.99358559,22,0
2024-04-01T04:15:00+04:00 Dubai,23.99358559,22,0
2024-04-01T04:20:00+04:00 Dubai,23.84341621,22,0
2024-04-01T04:25:00+04:00 Dubai,23.84341621,22,0
2024-04-01T04:30:00+04:00 Dubai,23.84341621,22,0
2024-04-01T04:35:00+04:00 Dubai,23.84341621,22,0
2024-04-01T04:40:00+04:00 Dubai,23.84341621,22,0
2024-04-01T04:45:00+04:00 Dubai,23.69332123,22,0
2024-04-01T04:50:00+04:00 Dubai,23.69332123,22,0
2024-04-01T04:55:00+04:00 Dubai,23.69332123,22,0
2024-04-01T05:00:00+04:00 Dubai,23.69332123,22,0
2024-04-01T05:05:00+04:00 Dubai,23.69332123,22,0
2024-04-01T05:10:00+04:00 Dubai,23.69332123,22,0
2024-04-01T05:15:00+04:00 Dubai,23.54470062,22,0
2024-04-01T05:20:00+04:00 Dubai,23.54470062,22,0
2024-04-01T05:25:00+04:00 Dubai,23.54470062,22,0
2024-04-01T05:30:00+04:00 Dubai,23.39396477,22,0
2024-04-01T05:35:00+04:00 Dubai,23.39396477,22,0
2024-04-01T05:40:00+04:00 Dubai,23.24522972,22,0
2024-04-01T05:45:00+04:00 Dubai,23.24522972,22,0
2024-04-01T05:50:00+04:00 Dubai,23.24522972,22,0
2024-04-01T05:55:00+04:00 Dubai,23.09511375,22,0
2024-04-01T06:00:00+04:00 Dubai,22.94516563,22,0
2024-04-01T06:05:00+04:00 Dubai,22.94516563,22,0
2024-04-01T06:10:00+04:00 Dubai,22.79566956,22,0
2024-04-01T06:15:00+04:00 Dubai,22.79566956,22,0
2024-04-01T06:20:00+04:00 Dubai,22.64591408,22,0
2024-04-01T06:25:00+04:00 Dubai,22.64591408,22,0
2024-04-01T06:30:00+04:00 Dubai,22.64591408,22,0
2024-04-01T06:35:00+04:00 Dubai,22.64591408,22,0
2024-04-01T06:40:00+04:00 Dubai,22.64591408,22,0
2024-04-01T06:45:00+04:00 Dubai,22.64591408,22,0
2024-04-01T06:50:00+04:00 Dubai,22.64591408,22,0
2024-04-01T06:55:00+04:00 Dubai,22.64591408,22,0
2024-04-01T07:00:00+04:00 Dubai,22.64591408,22,0
2024-04-01T07:05:00+04:00 Dubai,22.64591408,22,0
2024-04-01T07:10:00+04:00 Dubai,22.94735909,22,3.5132
2024-04-01T07:15:00+04:00 Dubai,23.09673691,22,7.4873
