ts,DMC Building 1 Data Quality Tests Dup of AHU_04_B1 Return Air Temp
2023-03-07T21:05:00+04:00 Dubai,23.522281646728516°C
2023-03-07T21:10:00+04:00 Dubai,23.522281646728516°C
2023-03-07T21:15:00+04:00 Dubai,23.522281646728516°C
2023-03-07T21:20:00+04:00 Dubai,23.522281646728516°C
2023-03-07T21:25:00+04:00 Dubai,23.522281646728516°C
2023-03-07T21:30:00+04:00 Dubai,23.522281646728516°C
2023-03-07T21:35:00+04:00 Dubai,23.522281646728516°C
2023-03-07T21:40:00+04:00 Dubai,23.522281646728516°C
2023-03-07T21:45:00+04:00 Dubai,23.522281646728516°C
2023-03-07T21:50:00+04:00 Dubai,23.522281646728516°C
2023-03-07T21:55:00+04:00 Dubai,23.522281646728516°C
2023-03-07T22:00:00+04:00 Dubai,23.522281646728516°C
2023-03-07T22:05:00+04:00 Dubai,23.522281646728516°C
2023-03-07T22:10:00+04:00 Dubai,23.522281646728516°C
2023-03-07T22:15:00+04:00 Dubai,23.522281646728516°C
2023-03-07T22:20:00+04:00 Dubai,23.522281646728516°C
2023-03-07T22:25:00+04:00 Dubai,23.522281646728516°C
2023-03-07T22:30:00+04:00 Dubai,23.522281646728516°C
2023-03-07T22:35:00+04:00 Dubai,23.522281646728516°C
2023-03-07T22:40:00+04:00 Dubai,23.522281646728516°C
2023-03-07T22:45:00+04:00 Dubai,23.522281646728516°C
2023-03-07T22:50:00+04:00 Dubai,23.522281646728516°C
2023-03-07T22:55:00+04:00 Dubai,23.522281646728516°C
2023-03-07T23:00:00+04:00 Dubai,23.522281646728516°C
2023-03-07T23:05:00+04:00 Dubai,23.522281646728516°C
2023-03-07T23:10:00+04:00 Dubai,23.522281646728516°C
2023-03-07T23:15:00+04:00 Dubai,23.522281646728516°C
2023-03-07T23:20:00+04:00 Dubai,23.522281646728516°C
2023-03-07T23:25:00+04:00 Dubai,23.522281646728516°C
2023-03-07T23:30:00+04:00 Dubai,23.522281646728516°C
2023-03-07T23:35:00+04:00 Dubai,23.522281646728516°C
2023-03-07T23:40:00+04:00 Dubai,23.522281646728516°C
2023-03-07T23:45:00+04:00 Dubai,23.522281646728516°C
2023-03-07T23:50:00+04:00 Dubai,23.522281646728516°C
2023-03-07T23:55:00+04:00 Dubai,23.522281646728516°C
2023-03-08T00:00:00+04:00 Dubai,23.522281646728516°C
2023-03-08T00:05:00+04:00 Dubai,23.522281646728516°C
2023-03-08T00:10:00+04:00 Dubai,23.522281646728516°C
2023-03-08T00:15:00+04:00 Dubai,23.522281646728516°C
2023-03-08T00:20:00+04:00 Dubai,23.522281646728516°C
2023-03-08T00:25:00+04:00 Dubai,23.522281646728516°C
2023-03-08T00:30:00+04:00 Dubai,23.373516082763672°C
