,ts,temp,new_point
0,2023-03-07T21:05:00+04:00 Dubai,23.522281646728516°C,34.59%
1,2023-03-07T21:10:00+04:00 Dubai,23.522281646728516°C,34.59%
2,2023-03-07T21:15:00+04:00 Dubai,23.522281646728516°C,34.59%
3,2023-03-07T21:20:00+04:00 Dubai,23.522281646728516°C,34.59%
4,2023-03-07T21:25:00+04:00 Dubai,23.522281646728516°C,34.59%
5,2023-03-07T21:30:00+04:00 Dubai,23.522281646728516°C,34.59%
6,2023-03-07T21:35:00+04:00 Dubai,23.522281646728516°C,34.59%
7,2023-03-07T21:40:00+04:00 Dubai,23.522281646728516°C,34.59%
8,2023-03-07T21:45:00+04:00 Dubai,23.522281646728516°C,34.59%
9,2023-03-07T21:50:00+04:00 Dubai,23.522281646728516°C,34.59%
10,2023-03-07T21:55:00+04:00 Dubai,23.522281646728516°C,34.59%
11,2023-03-07T22:00:00+04:00 Dubai,23.522281646728516°C,34.59%
12,2023-03-07T22:05:00+04:00 Dubai,23.522281646728516°C,34.59%
13,2023-03-07T22:10:00+04:00 Dubai,23.522281646728516°C,34.59%
14,2023-03-07T22:15:00+04:00 Dubai,23.522281646728516°C,34.59%
15,2023-03-07T22:20:00+04:00 Dubai,23.522281646728516°C,34.59%
16,2023-03-07T22:25:00+04:00 Dubai,23.522281646728516°C,34.59%
17,2023-03-07T22:30:00+04:00 Dubai,23.522281646728516°C,34.59%
18,2023-03-07T22:35:00+04:00 Dubai,23.522281646728516°C,34.59%
19,2023-03-07T22:40:00+04:00 Dubai,23.522281646728516°C,34.59%
20,2023-03-07T22:45:00+04:00 Dubai,23.522281646728516°C,34.59%
21,2023-03-07T22:50:00+04:00 Dubai,23.522281646728516°C,34.59%
22,2023-03-07T22:55:00+04:00 Dubai,23.522281646728516°C,34.59%
23,2023-03-07T23:00:00+04:00 Dubai,23.522281646728516°C,34.59%
24,2023-03-07T23:05:00+04:00 Dubai,23.522281646728516°C,34.59%
25,2023-03-07T23:10:00+04:00 Dubai,23.522281646728516°C,34.59%
26,2023-03-07T23:15:00+04:00 Dubai,23.522281646728516°C,34.59%
27,2023-03-07T23:20:00+04:00 Dubai,23.522281646728516°C,34.59%
28,2023-03-07T23:25:00+04:00 Dubai,23.522281646728516°C,34.59%
29,2023-03-07T23:30:00+04:00 Dubai,23.522281646728516°C,34.59%
30,2023-03-07T23:35:00+04:00 Dubai,23.522281646728516°C,34.59%
31,2023-03-07T23:40:00+04:00 Dubai,23.522281646728516°C,34.59%
32,2023-03-07T23:45:00+04:00 Dubai,23.522281646728516°C,34.59%
33,2023-03-07T23:50:00+04:00 Dubai,23.522281646728516°C,34.59%
34,2023-03-07T23:55:00+04:00 Dubai,23.522281646728516°C,34.59%
35,2023-03-08T00:00:00+04:00 Dubai,23.522281646728516°C,0%
36,2023-03-08T00:05:00+04:00 Dubai,23.522281646728516°C,0%
37,2023-03-08T00:10:00+04:00 Dubai,23.522281646728516°C,26.05%
38,2023-03-08T00:15:00+04:00 Dubai,23.522281646728516°C,25.21%
39,2023-03-08T00:20:00+04:00 Dubai,23.522281646728516°C,25.21%
40,2023-03-08T00:25:00+04:00 Dubai,23.522281646728516°C,26.22%
41,2023-03-08T00:30:00+04:00 Dubai,23.373516082763672°C,27.41%
42,2023-03-08T00:35:00+04:00 Dubai,23.373516082763672°C,28.57%
43,2023-03-08T00:40:00+04:00 Dubai,23.373516082763672°C,29.58%
44,2023-03-08T00:45:00+04:00 Dubai,23.373516082763672°C,30.72%
45,2023-03-08T00:50:00+04:00 Dubai,23.373516082763672°C,30.72%
46,2023-03-08T00:55:00+04:00 Dubai,23.373516082763672°C,31.79%
47,2023-03-08T01:00:00+04:00 Dubai,23.373516082763672°C,31.79%
48,2023-03-08T01:05:00+04:00 Dubai,23.373516082763672°C,31.79%
49,2023-03-08T01:10:00+04:00 Dubai,23.373516082763672°C,31.79%
50,2023-03-08T01:15:00+04:00 Dubai,23.373516082763672°C,31.79%
51,2023-03-08T01:20:00+04:00 Dubai,23.373516082763672°C,31.79%
52,2023-03-08T01:25:00+04:00 Dubai,23.373516082763672°C,31.79%
53,2023-03-08T01:30:00+04:00 Dubai,23.373516082763672°C,31.79%
54,2023-03-08T01:35:00+04:00 Dubai,23.373516082763672°C,31.79%
55,2023-03-08T01:40:00+04:00 Dubai,23.373516082763672°C,31.79%
56,2023-03-08T01:45:00+04:00 Dubai,23.373516082763672°C,31.79%
57,2023-03-08T01:50:00+04:00 Dubai,23.373516082763672°C,31.79%
58,2023-03-08T01:55:00+04:00 Dubai,23.373516082763672°C,31.79%
59,2023-03-08T02:00:00+04:00 Dubai,23.373516082763672°C,31.79%
60,2023-03-08T02:05:00+04:00 Dubai,23.373516082763672°C,31.79%
61,2023-03-08T02:10:00+04:00 Dubai,23.373516082763672°C,31.79%
62,2023-03-08T02:15:00+04:00 Dubai,23.373516082763672°C,31.79%
63,2023-03-08T02:20:00+04:00 Dubai,23.373516082763672°C,31.79%
64,2023-03-08T02:25:00+04:00 Dubai,23.373516082763672°C,31.79%
65,2023-03-08T02:30:00+04:00 Dubai,23.373516082763672°C,31.79%
66,2023-03-08T02:35:00+04:00 Dubai,23.373516082763672°C,31.79%
67,2023-03-08T02:40:00+04:00 Dubai,23.373516082763672°C,31.79%
68,2023-03-08T02:45:00+04:00 Dubai,23.373516082763672°C,31.79%
69,2023-03-08T02:50:00+04:00 Dubai,23.373516082763672°C,31.79%
70,2023-03-08T02:55:00+04:00 Dubai,23.373516082763672°C,31.79%
71,2023-03-08T03:00:00+04:00 Dubai,23.373516082763672°C,31.79%
72,2023-03-08T03:05:00+04:00 Dubai,23.373516082763672°C,31.79%
73,2023-03-08T03:10:00+04:00 Dubai,23.373516082763672°C,31.79%
74,2023-03-08T03:15:00+04:00 Dubai,23.373516082763672°C,31.79%
75,2023-03-08T03:20:00+04:00 Dubai,23.373516082763672°C,31.79%
76,2023-03-08T03:25:00+04:00 Dubai,23.373516082763672°C,31.79%
77,2023-03-08T03:30:00+04:00 Dubai,23.224395751953125°C,31.79%
78,2023-03-08T03:35:00+04:00 Dubai,23.224395751953125°C,31.79%
79,2023-03-08T03:40:00+04:00 Dubai,23.224395751953125°C,31.79%
80,2023-03-08T03:45:00+04:00 Dubai,23.224395751953125°C,31.79%
81,2023-03-08T03:50:00+04:00 Dubai,23.224395751953125°C,31.79%
82,2023-03-08T03:55:00+04:00 Dubai,23.224395751953125°C,31.79%
83,2023-03-08T04:00:00+04:00 Dubai,23.224395751953125°C,31.79%
84,2023-03-08T04:05:00+04:00 Dubai,23.224395751953125°C,31.79%
85,2023-03-08T04:10:00+04:00 Dubai,23.224395751953125°C,31.79%
86,2023-03-08T04:15:00+04:00 Dubai,23.224395751953125°C,31.79%
87,2023-03-08T04:20:00+04:00 Dubai,23.224395751953125°C,31.79%
88,2023-03-08T04:25:00+04:00 Dubai,23.224395751953125°C,31.79%
89,2023-03-08T04:30:00+04:00 Dubai,23.224395751953125°C,31.79%
90,2023-03-08T04:35:00+04:00 Dubai,23.224395751953125°C,31.79%
91,2023-03-08T04:40:00+04:00 Dubai,23.224395751953125°C,31.79%
92,2023-03-08T04:45:00+04:00 Dubai,23.224395751953125°C,31.79%
93,2023-03-08T04:50:00+04:00 Dubai,23.224395751953125°C,31.79%
94,2023-03-08T04:55:00+04:00 Dubai,23.224395751953125°C,31.79%
95,2023-03-08T05:00:00+04:00 Dubai,23.224395751953125°C,31.79%
96,2023-03-08T05:05:00+04:00 Dubai,23.224395751953125°C,31.79%
97,2023-03-08T05:10:00+04:00 Dubai,23.224395751953125°C,31.79%
98,2023-03-08T05:15:00+04:00 Dubai,23.224395751953125°C,31.79%
99,2023-03-08T05:20:00+04:00 Dubai,23.224395751953125°C,31.79%
100,2023-03-08T05:25:00+04:00 Dubai,23.224395751953125°C,31.79%
101,2023-03-08T05:30:00+04:00 Dubai,23.224395751953125°C,31.79%
102,2023-03-08T05:35:00+04:00 Dubai,23.37310028076172°C,31.79%
103,2023-03-08T05:40:00+04:00 Dubai,23.37310028076172°C,31.79%
104,2023-03-08T05:45:00+04:00 Dubai,23.37310028076172°C,31.79%
105,2023-03-08T05:50:00+04:00 Dubai,23.37310028076172°C,31.79%
106,2023-03-08T05:55:00+04:00 Dubai,23.523386001586914°C,31.79%
107,2023-03-08T06:00:00+04:00 Dubai,23.523386001586914°C,31.79%
108,2023-03-08T06:05:00+04:00 Dubai,23.523386001586914°C,31.79%
109,2023-03-08T06:10:00+04:00 Dubai,23.523386001586914°C,31.79%
110,2023-03-08T06:15:00+04:00 Dubai,23.523386001586914°C,31.79%
111,2023-03-08T06:20:00+04:00 Dubai,23.523386001586914°C,31.79%
112,2023-03-08T06:25:00+04:00 Dubai,23.523386001586914°C,31.79%
