ds,y,ds,y
07/03/2023 21:05,34.59,07/03/2023 21:05,35.70547689
07/03/2023 21:10,34.59,07/03/2023 21:10,35.65162892
07/03/2023 21:15,34.59,07/03/2023 21:15,35.59400804
07/03/2023 21:20,34.59,07/03/2023 21:20,35.53231913
07/03/2023 21:25,34.59,07/03/2023 21:25,35.46630864
07/03/2023 21:30,34.59,07/03/2023 21:30,35.39576721
07/03/2023 21:35,34.59,07/03/2023 21:35,35.32053206
07/03/2023 21:40,34.59,07/03/2023 21:40,35.2404889
07/03/2023 21:45,34.59,07/03/2023 21:45,35.15557357
07/03/2023 21:50,34.59,07/03/2023 21:50,35.06577321
07/03/2023 21:55,34.59,07/03/2023 21:55,34.97112708
07/03/2023 22:00,34.59,07/03/2023 22:00,34.87172693
07/03/2023 22:05,34.59,07/03/2023 22:05,34.76771698
07/03/2023 22:10,34.59,07/03/2023 22:10,34.65929343
07/03/2023 22:15,34.59,07/03/2023 22:15,34.54670363
07/03/2023 22:20,34.59,07/03/2023 22:20,34.43024474
07/03/2023 22:25,34.59,07/03/2023 22:25,34.31026205
07/03/2023 22:30,34.59,07/03/2023 22:30,34.18714686
07/03/2023 22:35,34.59,07/03/2023 22:35,34.061334
07/03/2023 22:40,34.59,07/03/2023 22:40,33.93329895
07/03/2023 22:45,34.59,07/03/2023 22:45,33.80355462
07/03/2023 22:50,34.59,07/03/2023 22:50,33.67264785
07/03/2023 22:55,34.59,07/03/2023 22:55,33.54115553
07/03/2023 23:00,34.59,07/03/2023 23:00,33.40968046
07/03/2023 23:05,34.59,07/03/2023 23:05,33.27884703
07/03/2023 23:10,34.59,07/03/2023 23:10,33.14929663
07/03/2023 23:15,34.59,07/03/2023 23:15,33.02168287
07/03/2023 23:20,34.59,07/03/2023 23:20,32.89666667
07/03/2023 23:25,34.59,07/03/2023 23:25,32.77491129
07/03/2023 23:30,34.59,07/03/2023 23:30,32.65707721
07/03/2023 23:35,34.59,07/03/2023 23:35,32.54381704
07/03/2023 23:40,34.59,07/03/2023 23:40,32.43577038
07/03/2023 23:45,34.59,07/03/2023 23:45,32.33355881
07/03/2023 23:50,34.59,07/03/2023 23:50,32.23778088
07/03/2023 23:55,34.59,07/03/2023 23:55,32.14900726
08/03/2023 0:00,0,08/03/2023 0:00,32.06777606
08/03/2023 0:05,0,08/03/2023 0:05,31.99458837
08/03/2023 0:10,26.05,08/03/2023 0:10,31.92990394
08/03/2023 0:15,25.21,08/03/2023 0:15,31.87413726
08/03/2023 0:20,25.21,08/03/2023 0:20,31.82765383
08/03/2023 0:25,26.22,08/03/2023 0:25,31.79076684
08/03/2023 0:30,27.41,08/03/2023 0:30,31.76373415
08/03/2023 0:35,28.57,08/03/2023 0:35,31.74675569
08/03/2023 0:40,29.58,08/03/2023 0:40,31.73997125
08/03/2023 0:45,30.72,08/03/2023 0:45,31.74345871
08/03/2023 0:50,30.72,08/03/2023 0:50,31.7572327
08/03/2023 0:55,31.79,08/03/2023 0:55,31.78124373
08/03/2023 1:00,31.79,08/03/2023 1:00,31.81537777
08/03/2023 1:05,31.79,08/03/2023 1:05,31.8594563
08/03/2023 1:10,31.79,08/03/2023 1:10,31.91323687
08/03/2023 1:15,31.79,08/03/2023 1:15,31.9764141
08/03/2023 1:20,31.79,08/03/2023 1:20,32.04862116
08/03/2023 1:25,31.79,08/03/2023 1:25,32.12943172
08/03/2023 1:30,31.79,08/03/2023 1:30,32.21836235
08/03/2023 1:35,31.79,08/03/2023 1:35,32.31487537
08/03/2023 1:40,31.79,08/03/2023 1:40,32.41838207
08/03/2023 1:45,31.79,08/03/2023 1:45,32.52824644
08/03/2023 1:50,31.79,08/03/2023 1:50,32.64378913
08/03/2023 1:55,31.79,08/03/2023 1:55,32.76429189
08/03/2023 2:00,31.79,08/03/2023 2:00,32.88900222
08/03/2023 2:05,31.79,08/03/2023 2:05,33.01713841
08/03/2023 2:10,31.79,08/03/2023 2:10,33.14789477
08/03/2023 2:15,31.79,08/03/2023 2:15,33.28044707
08/03/2023 2:20,31.79,08/03/2023 2:20,33.41395819
08/03/2023 2:25,31.79,08/03/2023 2:25,33.5475839
08/03/2023 2:30,31.79,08/03/2023 2:30,33.68047873
08/03/2023 2:35,31.79,08/03/2023 2:35,33.81180188
08/03/2023 2:40,31.79,08/03/2023 2:40,33.9407232
08/03/2023 2:45,31.79,08/03/2023 2:45,34.06642907
08/03/2023 2:50,31.79,08/03/2023 2:50,34.18812826
08/03/2023 2:55,31.79,08/03/2023 2:55,34.30505765
08/03/2023 3:00,31.79,08/03/2023 3:00,34.41648779
08/03/2023 3:05,31.79,08/03/2023 3:05,34.52172828
08/03/2023 3:10,31.79,08/03/2023 3:10,34.62013292
08/03/2023 3:15,31.79,08/03/2023 3:15,34.71110456
08/03/2023 3:20,31.79,08/03/2023 3:20,34.79409965
08/03/2023 3:25,31.79,08/03/2023 3:25,34.86863243
08/03/2023 3:30,31.79,08/03/2023 3:30,34.93427882
08/03/2023 3:35,31.79,08/03/2023 3:35,34.99067977
08/03/2023 3:40,31.79,08/03/2023 3:40,35.03754431
08/03/2023 3:45,31.79,08/03/2023 3:45,35.07465206
08/03/2023 3:50,31.79,08/03/2023 3:50,35.1018553
08/03/2023 3:55,31.79,08/03/2023 3:55,35.11908054
08/03/2023 4:00,31.79,08/03/2023 4:00,35.12632961
08/03/2023 4:05,31.79,08/03/2023 4:05,35.12368017
08/03/2023 4:10,31.79,08/03/2023 4:10,35.11128577
08/03/2023 4:15,31.79,08/03/2023 4:15,35.08937536
08/03/2023 4:20,31.79,08/03/2023 4:20,35.05825224
08/03/2023 4:25,31.79,08/03/2023 4:25,35.01829258
08/03/2023 4:30,31.79,08/03/2023 4:30,34.96994333
08/03/2023 4:35,31.79,08/03/2023 4:35,34.91371973
08/03/2023 4:40,31.79,08/03/2023 4:40,34.85020225
08/03/2023 4:45,31.79,08/03/2023 4:45,34.78003314
08/03/2023 4:50,31.79,08/03/2023 4:50,34.70391253
08/03/2023 4:55,31.79,08/03/2023 4:55,34.62259407
08/03/2023 5:00,31.79,08/03/2023 5:00,34.53688023
08/03/2023 5:05,31.79,08/03/2023 5:05,34.44761726
08/03/2023 5:10,31.79,08/03/2023 5:10,34.35568981
08/03/2023 5:15,31.79,08/03/2023 5:15,34.26201523
08/03/2023 5:20,31.79,08/03/2023 5:20,34.16753774
08/03/2023 5:25,31.79,08/03/2023 5:25,34.07322225
08/03/2023 5:30,31.79,08/03/2023 5:30,33.98004816
08/03/2023 5:35,31.79,08/03/2023 5:35,33.88900295
08/03/2023 5:40,31.79,08/03/2023 5:40,33.80107572
08/03/2023 5:45,31.79,08/03/2023 5:45,33.71725075
08/03/2023 5:50,31.79,08/03/2023 5:50,33.63850096
08/03/2023 5:55,31.79,08/03/2023 5:55,33.56578155
08/03/2023 6:00,31.79,08/03/2023 6:00,33.5000237
08/03/2023 6:05,31.79,08/03/2023 6:05,33.44212838
08/03/2023 6:10,31.79,08/03/2023 6:10,33.39296041
08/03/2023 6:15,31.79,08/03/2023 6:15,33.3533427
08/03/2023 6:20,31.79,08/03/2023 6:20,33.3240508
08/03/2023 6:25,31.79,08/03/2023 6:25,33.30580772
08/03/2023 6:30,31.79,08/03/2023 6:30,33.29927913
08/03/2023 6:35,31.79,08/03/2023 6:35,33.30506889
08/03/2023 6:40,31.79,08/03/2023 6:40,33.32371504
08/03/2023 6:45,31.79,08/03/2023 6:45,33.35568619
08/03/2023 6:50,31.79,08/03/2023 6:50,33.40137834
08/03/2023 6:55,31.79,08/03/2023 6:55,33.46111225
08/03/2023 7:00,31.79,08/03/2023 7:00,33.53513123
08/03/2023 7:05,31.79,08/03/2023 7:05,33.62359952
08/03/2023 7:10,31.79,08/03/2023 7:10,33.72660107
08/03/2023 7:15,31.79,08/03/2023 7:15,33.844139
08/03/2023 7:20,31.79,08/03/2023 7:20,33.97613547
08/03/2023 7:25,31.79,08/03/2023 7:25,34.12243212
08/03/2023 7:30,31.79,08/03/2023 7:30,34.28279103
08/03/2023 7:35,31.79,08/03/2023 7:35,34.45689624
08/03/2023 7:40,31.79,08/03/2023 7:40,34.64435569
08/03/2023 7:45,31.79,08/03/2023 7:45,34.84470371
08/03/2023 7:50,31.79,08/03/2023 7:50,35.05740401
08/03/2023 7:55,31.79,08/03/2023 7:55,35.28185301
08/03/2023 8:00,32.89,08/03/2023 8:00,35.5173837
08/03/2023 8:05,33.98,08/03/2023 8:05,35.76326986
08/03/2023 8:10,35.22,08/03/2023 8:10,36.01873065
08/03/2023 8:15,36.53,08/03/2023 8:15,36.28293549
08/03/2023 8:20,35.03,08/03/2023 8:20,36.55500932
08/03/2023 8:25,35.03,08/03/2023 8:25,36.83403804
08/03/2023 8:30,35.03,08/03/2023 8:30,37.11907424
08/03/2023 8:35,35.03,08/03/2023 8:35,37.40914304
08/03/2023 8:40,35.03,08/03/2023 8:40,37.70324814
08/03/2023 8:45,35.03,08/03/2023 8:45,38.00037791
08/03/2023 8:50,36.18,08/03/2023 8:50,38.29951156
08/03/2023 8:55,38.45,08/03/2023 8:55,38.59962534
08/03/2023 9:00,39.72,08/03/2023 9:00,38.89969867
08/03/2023 9:05,39.74,08/03/2023 9:05,39.19872021
08/03/2023 9:10,39.74,08/03/2023 9:10,39.49569382
08/03/2023 9:15,39.74,08/03/2023 9:15,39.78964438
08/03/2023 9:20,39.74,08/03/2023 9:20,40.07962335
08/03/2023 9:25,39.74,08/03/2023 9:25,40.36471422
08/03/2023 9:30,39.74,08/03/2023 9:30,40.64403753
08/03/2023 9:35,39.74,08/03/2023 9:35,40.91675572
08/03/2023 9:40,39.74,08/03/2023 9:40,41.18207759
08/03/2023 9:45,40.77,08/03/2023 9:45,41.4392624
08/03/2023 9:50,43.33,08/03/2023 9:50,41.68762359
08/03/2023 9:55,44.82,08/03/2023 9:55,41.92653208
08/03/2023 10:00,43.74,08/03/2023 10:00,42.15541916
08/03/2023 10:05,43.74,08/03/2023 10:05,42.37377889
08/03/2023 10:10,44.92,08/03/2023 10:10,42.5811701
08/03/2023 10:15,46.18,08/03/2023 10:15,42.77721786
08/03/2023 10:20,48.59,08/03/2023 10:20,42.96161453
08/03/2023 10:25,49.97,08/03/2023 10:25,43.13412027
08/03/2023 10:30,48.55,08/03/2023 10:30,43.29456312
08/03/2023 10:35,48.55,08/03/2023 10:35,43.4428386
08/03/2023 10:40,48.55,08/03/2023 10:40,43.57890882
08/03/2023 10:45,48.55,08/03/2023 10:45,43.70280114
08/03/2023 10:50,48.55,08/03/2023 10:50,43.81460643
08/03/2023 10:55,48.55,08/03/2023 10:55,43.91447686
