ds,yhat
2023-03-11T08:20:00+0000 Dubai,23.502207
2023-03-11T08:25:00+0000 Dubai,23.570005
2023-03-11T08:30:00+0000 Dubai,23.581858
2023-03-11T08:35:00+0000 Dubai,23.608809
2023-03-11T08:40:00+0000 Dubai,23.606312
2023-03-11T08:45:00+0000 Dubai,23.618746
2023-03-11T08:50:00+0000 Dubai,23.725819
2023-03-11T08:55:00+0000 Dubai,23.7414
2023-03-11T09:00:00+0000 Dubai,23.813118
2023-03-11T09:05:00+0000 Dubai,23.822285
2023-03-11T09:10:00+0000 Dubai,23.823444
2023-03-11T09:15:00+0000 Dubai,23.873991
2023-03-11T09:20:00+0000 Dubai,23.906256
2023-03-11T09:25:00+0000 Dubai,23.93852
2023-03-11T09:30:00+0000 Dubai,24.001234
2023-03-11T09:35:00+0000 Dubai,24.009565
2023-03-11T09:40:00+0000 Dubai,24.007069
2023-03-11T09:45:00+0000 Dubai,24.010675
2023-03-11T09:50:00+0000 Dubai,24.025707
2023-03-11T09:55:00+0000 Dubai,24.033224
2023-03-11T10:00:00+0000 Dubai,24.082766
2023-03-11T10:05:00+0000 Dubai,24.09158
2023-03-11T10:10:00+0000 Dubai,24.096397
2023-03-11T10:15:00+0000 Dubai,24.12109
2023-03-11T10:20:00+0000 Dubai,24.162987
2023-03-11T10:25:00+0000 Dubai,24.167635
2023-03-11T10:30:00+0000 Dubai,24.172297
2023-03-11T10:35:00+0000 Dubai,24.17291
2023-03-11T10:40:00+0000 Dubai,24.17138
2023-03-11T10:45:00+0000 Dubai,24.174986
2023-03-11T10:50:00+0000 Dubai,24.172205
2023-03-11T10:55:00+0000 Dubai,24.170475
2023-03-11T11:00:00+0000 Dubai,24.289036
2023-03-11T11:05:00+0000 Dubai,24.303062
2023-03-11T11:10:00+0000 Dubai,24.30516
2023-03-11T11:15:00+0000 Dubai,24.306818
2023-03-11T11:20:00+0000 Dubai,24.303291
2023-03-11T11:25:00+0000 Dubai,24.303083
2023-03-11T11:30:00+0000 Dubai,24.307478
2023-03-11T11:35:00+0000 Dubai,24.307217
2023-03-11T11:40:00+0000 Dubai,24.302135
2023-03-11T11:45:00+0000 Dubai,24.305742
2023-03-11T11:50:00+0000 Dubai,24.253439
2023-03-11T11:55:00+0000 Dubai,24.246403
2023-03-11T12:00:00+0000 Dubai,24.159313
2023-03-11T12:05:00+0000 Dubai,24.176275
2023-03-11T12:10:00+0000 Dubai,24.174715
