ts,DMC Building 1 Data Quality Tests Dup of AHU_04_B1 Return Air Temp,DMC Building 1 Data Quality Tests New-Point
2023-02-24T18:45:00+04:00 Dubai,24.420516967773438°C,""
2023-02-24T18:50:00+04:00 Dubai,24.420516967773438°C,""
2023-02-24T18:55:00+04:00 Dubai,24.420516967773438°C,""
2023-02-24T19:00:00+04:00 Dubai,24.345844268798828°C,""
2023-02-24T19:05:00+04:00 Dubai,24.271169662475586°C,""
2023-02-24T19:10:00+04:00 Dubai,24.271169662475586°C,""
2023-02-24T19:15:00+04:00 Dubai,24.271169662475586°C,""
2023-02-24T19:20:00+04:00 Dubai,24.271169662475586°C,""
2023-02-24T19:25:00+04:00 Dubai,24.271169662475586°C,""
2023-02-24T19:30:00+04:00 Dubai,24.271169662475586°C,""
2023-02-24T19:35:00+04:00 Dubai,24.271169662475586°C,""
2023-02-24T19:40:00+04:00 Dubai,24.122562408447266°C,""
2023-02-24T19:45:00+04:00 Dubai,24.122562408447266°C,""
2023-02-24T19:50:00+04:00 Dubai,24.122562408447266°C,""
2023-02-24T19:55:00+04:00 Dubai,24.122562408447266°C,""
2023-02-24T20:00:00+04:00 Dubai,24.122562408447266°C,""
2023-02-24T20:05:00+04:00 Dubai,24.122562408447266°C,""
2023-02-24T20:10:00+04:00 Dubai,24.122562408447266°C,""
2023-02-24T20:15:00+04:00 Dubai,24.122562408447266°C,""
2023-02-24T20:20:00+04:00 Dubai,24.122562408447266°C,""
2023-02-24T20:25:00+04:00 Dubai,24.122562408447266°C,""
2023-02-24T20:30:00+04:00 Dubai,23.97339630126953°C,""
2023-02-24T20:35:00+04:00 Dubai,23.97339630126953°C,""
2023-02-24T20:40:00+04:00 Dubai,23.8245792388916°C,""
2023-02-24T20:45:00+04:00 Dubai,23.8245792388916°C,""
2023-02-24T20:50:00+04:00 Dubai,23.8245792388916°C,""
2023-02-24T20:55:00+04:00 Dubai,23.8245792388916°C,""
2023-02-24T21:00:00+04:00 Dubai,23.675424575805664°C,""
2023-02-24T21:05:00+04:00 Dubai,23.675424575805664°C,""
2023-02-24T21:10:00+04:00 Dubai,23.675424575805664°C,""
2023-02-24T21:15:00+04:00 Dubai,23.675424575805664°C,""
2023-02-24T21:20:00+04:00 Dubai,23.675424575805664°C,""
2023-02-24T21:25:00+04:00 Dubai,23.675424575805664°C,""
2023-02-24T21:30:00+04:00 Dubai,23.675424575805664°C,""
2023-02-24T21:35:00+04:00 Dubai,23.675424575805664°C,""
2023-02-24T21:40:00+04:00 Dubai,23.675424575805664°C,""
2023-02-24T21:45:00+04:00 Dubai,23.526138305664062°C,""
2023-02-24T21:50:00+04:00 Dubai,23.526138305664062°C,""
2023-02-24T21:55:00+04:00 Dubai,23.526138305664062°C,""
2023-02-24T22:00:00+04:00 Dubai,23.526138305664062°C,""
2023-02-24T22:05:00+04:00 Dubai,23.526138305664062°C,""
2023-02-24T22:10:00+04:00 Dubai,23.526138305664062°C,""
2023-02-24T22:15:00+04:00 Dubai,23.526138305664062°C,""
2023-02-24T22:20:00+04:00 Dubai,23.526138305664062°C,""
2023-02-24T22:25:00+04:00 Dubai,23.526138305664062°C,""
2023-02-24T22:30:00+04:00 Dubai,23.526138305664062°C,""
2023-02-24T22:35:00+04:00 Dubai,23.526138305664062°C,""
2023-02-24T22:40:00+04:00 Dubai,23.526138305664062°C,""
2023-02-24T22:45:00+04:00 Dubai,23.526138305664062°C,""
2023-02-24T22:50:00+04:00 Dubai,23.37613868713379°C,""
2023-02-24T22:55:00+04:00 Dubai,23.37613868713379°C,""
2023-02-24T23:00:00+04:00 Dubai,23.37613868713379°C,""
2023-02-24T23:05:00+04:00 Dubai,23.37613868713379°C,""
2023-02-24T23:10:00+04:00 Dubai,23.37613868713379°C,""
2023-02-24T23:15:00+04:00 Dubai,23.37613868713379°C,""
2023-02-24T23:20:00+04:00 Dubai,23.37613868713379°C,""
2023-02-24T23:25:00+04:00 Dubai,23.37613868713379°C,""
2023-02-24T23:30:00+04:00 Dubai,23.37613868713379°C,""
2023-02-24T23:35:00+04:00 Dubai,23.37613868713379°C,""
2023-02-24T23:40:00+04:00 Dubai,23.37613868713379°C,""
2023-02-24T23:45:00+04:00 Dubai,23.37613868713379°C,""
2023-02-24T23:50:00+04:00 Dubai,23.227157592773438°C,""
2023-02-24T23:55:00+04:00 Dubai,23.227157592773438°C,""
2023-02-25T00:00:00+04:00 Dubai,23.227157592773438°C,""
2023-02-25T00:05:00+04:00 Dubai,23.227157592773438°C,""
2023-02-25T00:10:00+04:00 Dubai,23.227157592773438°C,""
2023-02-25T00:15:00+04:00 Dubai,23.227157592773438°C,""
2023-02-25T00:20:00+04:00 Dubai,23.227157592773438°C,""
2023-02-25T00:25:00+04:00 Dubai,23.227157592773438°C,""
2023-02-25T00:30:00+04:00 Dubai,23.227157592773438°C,""
2023-02-25T00:35:00+04:00 Dubai,23.227157592773438°C,""
2023-02-25T00:40:00+04:00 Dubai,23.227157592773438°C,""
2023-02-25T00:45:00+04:00 Dubai,23.227157592773438°C,""
2023-02-25T00:50:00+04:00 Dubai,23.227157592773438°C,""
2023-02-25T00:55:00+04:00 Dubai,23.227157592773438°C,""
2023-02-25T01:00:00+04:00 Dubai,23.227157592773438°C,""
2023-02-25T01:05:00+04:00 Dubai,23.227157592773438°C,""
2023-02-25T01:10:00+04:00 Dubai,23.227157592773438°C,""
2023-02-25T01:15:00+04:00 Dubai,23.227157592773438°C,""
2023-02-25T01:20:00+04:00 Dubai,23.227157592773438°C,""
2023-02-25T01:25:00+04:00 Dubai,23.227157592773438°C,""
2023-02-25T01:30:00+04:00 Dubai,23.227157592773438°C,""
2023-02-25T01:35:00+04:00 Dubai,23.227157592773438°C,""
2023-02-25T01:40:00+04:00 Dubai,23.227157592773438°C,""
2023-02-25T01:45:00+04:00 Dubai,23.227157592773438°C,""
2023-02-25T01:50:00+04:00 Dubai,23.227157592773438°C,""
2023-02-25T01:55:00+04:00 Dubai,23.227157592773438°C,""
2023-02-25T02:00:00+04:00 Dubai,23.227157592773438°C,""
2023-02-25T02:05:00+04:00 Dubai,23.227157592773438°C,""
2023-02-25T02:10:00+04:00 Dubai,23.227157592773438°C,""
2023-02-25T02:15:00+04:00 Dubai,23.227157592773438°C,""
2023-02-25T02:20:00+04:00 Dubai,23.227157592773438°C,""
2023-02-25T02:25:00+04:00 Dubai,23.227157592773438°C,""
2023-02-25T02:30:00+04:00 Dubai,23.227157592773438°C,""
2023-02-25T02:35:00+04:00 Dubai,23.227157592773438°C,""
2023-02-25T02:40:00+04:00 Dubai,23.227157592773438°C,""
2023-02-25T02:45:00+04:00 Dubai,23.227157592773438°C,""
2023-02-25T02:50:00+04:00 Dubai,23.227157592773438°C,""
2023-02-25T02:55:00+04:00 Dubai,23.227157592773438°C,""
2023-02-25T03:00:00+04:00 Dubai,23.227157592773438°C,""
2023-02-25T03:05:00+04:00 Dubai,23.227157592773438°C,""
2023-02-25T03:10:00+04:00 Dubai,23.227157592773438°C,""
2023-02-25T03:15:00+04:00 Dubai,23.227157592773438°C,""
2023-02-25T03:20:00+04:00 Dubai,23.227157592773438°C,""
2023-02-25T03:25:00+04:00 Dubai,23.227157592773438°C,""
2023-02-25T03:30:00+04:00 Dubai,23.227157592773438°C,""
2023-02-25T03:35:00+04:00 Dubai,23.227157592773438°C,""
2023-02-25T03:40:00+04:00 Dubai,23.227157592773438°C,""
2023-02-25T03:45:00+04:00 Dubai,23.227157592773438°C,""
2023-02-25T03:50:00+04:00 Dubai,23.227157592773438°C,""
2023-02-25T03:55:00+04:00 Dubai,23.227157592773438°C,""
2023-02-25T04:00:00+04:00 Dubai,23.07815933227539°C,""
2023-02-25T04:05:00+04:00 Dubai,23.07815933227539°C,""
2023-02-25T04:10:00+04:00 Dubai,23.07815933227539°C,""
2023-02-25T04:15:00+04:00 Dubai,23.07815933227539°C,""
2023-02-25T04:20:00+04:00 Dubai,23.07815933227539°C,""
2023-02-25T04:25:00+04:00 Dubai,23.07815933227539°C,""
2023-02-25T04:30:00+04:00 Dubai,23.07815933227539°C,""
2023-02-25T04:35:00+04:00 Dubai,23.07815933227539°C,""
2023-02-25T04:40:00+04:00 Dubai,23.07815933227539°C,""
2023-02-25T04:45:00+04:00 Dubai,23.07815933227539°C,""
2023-02-25T04:50:00+04:00 Dubai,23.07815933227539°C,""
2023-02-25T04:55:00+04:00 Dubai,23.07815933227539°C,""
2023-02-25T05:00:00+04:00 Dubai,23.07815933227539°C,""
2023-02-25T05:05:00+04:00 Dubai,23.07815933227539°C,""
2023-02-25T05:10:00+04:00 Dubai,23.07815933227539°C,""
2023-02-25T05:15:00+04:00 Dubai,23.07815933227539°C,""
2023-02-25T05:20:00+04:00 Dubai,23.07815933227539°C,""
2023-02-25T05:25:00+04:00 Dubai,23.07815933227539°C,""
2023-02-25T05:30:00+04:00 Dubai,23.07815933227539°C,""
2023-02-25T05:35:00+04:00 Dubai,23.07815933227539°C,""
2023-02-25T05:40:00+04:00 Dubai,23.07815933227539°C,""
2023-02-25T05:45:00+04:00 Dubai,23.07815933227539°C,""
2023-02-25T05:50:00+04:00 Dubai,23.07815933227539°C,""
2023-02-25T05:55:00+04:00 Dubai,23.07815933227539°C,""
2023-02-25T06:00:00+04:00 Dubai,23.07815933227539°C,""
2023-02-25T06:05:00+04:00 Dubai,23.07815933227539°C,""
2023-02-25T06:10:00+04:00 Dubai,23.07815933227539°C,""
2023-02-25T06:15:00+04:00 Dubai,23.07815933227539°C,""
2023-02-25T06:20:00+04:00 Dubai,23.07815933227539°C,""
2023-02-25T06:25:00+04:00 Dubai,23.07815933227539°C,""
2023-02-25T06:30:00+04:00 Dubai,23.07815933227539°C,""
2023-02-25T06:35:00+04:00 Dubai,23.07815933227539°C,""
2023-02-25T06:40:00+04:00 Dubai,23.07815933227539°C,""
2023-02-25T06:45:00+04:00 Dubai,23.07815933227539°C,""
2023-02-25T06:50:00+04:00 Dubai,23.07815933227539°C,""
2023-02-25T06:55:00+04:00 Dubai,23.07815933227539°C,""
2023-02-25T07:00:00+04:00 Dubai,23.07815933227539°C,""
2023-02-25T07:05:00+04:00 Dubai,23.07815933227539°C,""
2023-02-25T07:10:00+04:00 Dubai,23.07815933227539°C,""
2023-02-25T07:15:00+04:00 Dubai,23.07815933227539°C,""
2023-02-25T07:20:00+04:00 Dubai,23.07815933227539°C,""
2023-02-25T07:25:00+04:00 Dubai,23.07815933227539°C,""
2023-02-25T07:30:00+04:00 Dubai,23.07815933227539°C,""
2023-02-25T07:35:00+04:00 Dubai,23.07815933227539°C,""
2023-02-25T07:40:00+04:00 Dubai,23.07815933227539°C,""
2023-02-25T07:45:00+04:00 Dubai,23.07815933227539°C,""
2023-02-25T07:50:00+04:00 Dubai,23.07815933227539°C,""
2023-02-25T07:55:00+04:00 Dubai,23.07815933227539°C,""
2023-02-25T08:00:00+04:00 Dubai,23.22753143310547°C,""
2023-02-25T08:05:00+04:00 Dubai,23.22753143310547°C,""
2023-02-25T08:10:00+04:00 Dubai,23.22753143310547°C,""
2023-02-25T08:15:00+04:00 Dubai,23.22753143310547°C,""
2023-02-25T08:20:00+04:00 Dubai,23.22753143310547°C,""
2023-02-25T08:25:00+04:00 Dubai,23.376131057739258°C,""
2023-02-25T08:30:00+04:00 Dubai,23.376131057739258°C,""
2023-02-25T08:35:00+04:00 Dubai,23.376131057739258°C,""
2023-02-25T08:40:00+04:00 Dubai,23.376131057739258°C,""
2023-02-25T08:45:00+04:00 Dubai,23.52499771118164°C,""
2023-02-25T08:50:00+04:00 Dubai,23.52499771118164°C,""
2023-02-25T08:55:00+04:00 Dubai,23.52499771118164°C,""
2023-02-25T09:00:00+04:00 Dubai,23.674062728881836°C,""
2023-02-25T09:05:00+04:00 Dubai,23.674062728881836°C,""
2023-02-25T09:10:00+04:00 Dubai,23.674062728881836°C,""
2023-02-25T09:15:00+04:00 Dubai,23.674062728881836°C,""
2023-02-25T09:20:00+04:00 Dubai,23.674062728881836°C,""
2023-02-25T09:25:00+04:00 Dubai,23.674062728881836°C,""
2023-02-25T09:30:00+04:00 Dubai,23.674062728881836°C,""
2023-02-25T09:35:00+04:00 Dubai,23.674062728881836°C,""
2023-02-25T09:40:00+04:00 Dubai,23.674062728881836°C,""
2023-02-25T09:45:00+04:00 Dubai,23.674062728881836°C,""
2023-02-25T09:50:00+04:00 Dubai,23.674062728881836°C,""
2023-02-25T09:55:00+04:00 Dubai,23.82303237915039°C,""
2023-02-25T10:00:00+04:00 Dubai,23.82303237915039°C,""
2023-02-25T10:05:00+04:00 Dubai,23.82303237915039°C,""
2023-02-25T10:10:00+04:00 Dubai,23.82303237915039°C,""
2023-02-25T10:15:00+04:00 Dubai,23.82303237915039°C,""
2023-02-25T10:20:00+04:00 Dubai,23.97184944152832°C,""
2023-02-25T10:25:00+04:00 Dubai,23.97184944152832°C,""
2023-02-25T10:30:00+04:00 Dubai,23.97184944152832°C,""
2023-02-25T10:35:00+04:00 Dubai,23.97184944152832°C,""
2023-02-25T10:40:00+04:00 Dubai,23.97184944152832°C,""
2023-02-25T10:45:00+04:00 Dubai,23.97184944152832°C,""
2023-02-25T10:50:00+04:00 Dubai,23.97184944152832°C,""
2023-02-25T10:55:00+04:00 Dubai,23.97184944152832°C,""
2023-02-25T11:00:00+04:00 Dubai,23.97184944152832°C,""
2023-02-25T11:05:00+04:00 Dubai,23.97184944152832°C,""
2023-02-25T11:10:00+04:00 Dubai,24.121614456176758°C,""
2023-02-25T11:15:00+04:00 Dubai,24.121614456176758°C,""
2023-02-25T11:20:00+04:00 Dubai,24.121614456176758°C,""
2023-02-25T11:25:00+04:00 Dubai,24.270288467407227°C,""
