Timestamp,val,discharge_Chilled_Water_Cool_Valve_Cmd_AHU_01_B1,discharge_Fan_Vfd_Speed_Sensor_AHU_01_B1
2023-04-09T13:20:00+04:00 Dubai,17.938112258911133°C,29.293743133544922%,51.53627395629883%
2023-04-09T13:25:00+04:00 Dubai,17.938112258911133°C,29.293743133544922%,51.532142639160156%
2023-04-09T13:30:00+04:00 Dubai,17.938112258911133°C,29.293743133544922%,51.36550521850586%
2023-04-09T13:35:00+04:00 Dubai,17.938112258911133°C,29.293743133544922%,50.94362258911133%
2023-04-09T13:40:00+04:00 Dubai,17.938112258911133°C,29.293743133544922%,50.64654541015625%
2023-04-09T13:45:00+04:00 Dubai,17.938112258911133°C,29.293743133544922%,50.608089447021484%
2023-04-09T13:50:00+04:00 Dubai,17.938112258911133°C,29.293743133544922%,50.57822036743164%
2023-04-09T13:55:00+04:00 Dubai,17.938112258911133°C,29.293743133544922%,50.59889602661133%
2023-04-09T14:00:00+04:00 Dubai,17.938112258911133°C,29.293743133544922%,50.10847854614258%
2023-04-09T14:05:00+04:00 Dubai,17.788787841796875°C,29.293743133544922%,50.144432067871094%
2023-04-09T14:10:00+04:00 Dubai,17.788787841796875°C,29.293743133544922%,50.144466400146484%
2023-04-09T14:15:00+04:00 Dubai,17.788787841796875°C,29.293743133544922%,50.15210723876953%
2023-04-09T14:20:00+04:00 Dubai,17.637035369873047°C,29.293743133544922%,48.871498107910156%
2023-04-09T14:25:00+04:00 Dubai,17.637035369873047°C,29.293743133544922%,49.26361846923828%
2023-04-09T14:30:00+04:00 Dubai,17.637035369873047°C,29.293743133544922%,49.270042419433594%
2023-04-09T14:35:00+04:00 Dubai,17.637035369873047°C,29.293743133544922%,51.16564178466797%
2023-04-09T14:40:00+04:00 Dubai,17.637035369873047°C,29.293743133544922%,47.931724548339844%
2023-04-09T14:45:00+04:00 Dubai,17.637035369873047°C,29.293743133544922%,48.47466278076172%
2023-04-09T14:50:00+04:00 Dubai,17.637035369873047°C,29.293743133544922%,49.304134368896484%
2023-04-09T14:55:00+04:00 Dubai,17.637035369873047°C,29.293743133544922%,48.84208297729492%
2023-04-09T15:00:00+04:00 Dubai,17.637035369873047°C,29.293743133544922%,49.215354919433594%
2023-04-09T15:05:00+04:00 Dubai,17.637035369873047°C,29.293743133544922%,49.30951690673828%
2023-04-09T15:10:00+04:00 Dubai,17.637035369873047°C,29.293743133544922%,48.74960708618164%
2023-04-09T15:15:00+04:00 Dubai,17.637035369873047°C,29.293743133544922%,49.13282012939453%
2023-04-09T15:20:00+04:00 Dubai,17.637035369873047°C,29.293743133544922%,49.130027770996094%
2023-04-09T15:25:00+04:00 Dubai,17.637035369873047°C,29.293743133544922%,48.847068786621094%
2023-04-09T15:30:00+04:00 Dubai,17.637035369873047°C,29.293743133544922%,49.47420120239258%
2023-04-09T15:35:00+04:00 Dubai,17.637035369873047°C,29.293743133544922%,50.05630111694336%
2023-04-09T15:40:00+04:00 Dubai,17.637035369873047°C,29.293743133544922%,49.76097869873047%
2023-04-09T15:45:00+04:00 Dubai,17.637035369873047°C,29.293743133544922%,50.12802505493164%
2023-04-09T15:50:00+04:00 Dubai,17.637035369873047°C,29.293743133544922%,50.748233795166016%
2023-04-09T15:55:00+04:00 Dubai,17.637035369873047°C,29.293743133544922%,50.972633361816406%
2023-04-09T16:00:00+04:00 Dubai,17.637035369873047°C,29.293743133544922%,51.25575637817383%
2023-04-09T16:05:00+04:00 Dubai,17.637035369873047°C,29.293743133544922%,51.254581451416016%
2023-04-09T16:10:00+04:00 Dubai,17.637035369873047°C,29.293743133544922%,51.3182373046875%
2023-04-09T16:15:00+04:00 Dubai,17.637035369873047°C,29.293743133544922%,51.53449249267578%
2023-04-09T16:20:00+04:00 Dubai,17.637035369873047°C,29.293743133544922%,51.10243225097656%
2023-04-09T16:25:00+04:00 Dubai,17.637035369873047°C,29.293743133544922%,51.53084182739258%
2023-04-09T16:30:00+04:00 Dubai,17.637035369873047°C,29.293743133544922%,51.52947235107422%
2023-04-09T16:35:00+04:00 Dubai,17.637035369873047°C,29.293743133544922%,51.52993392944336%
2023-04-09T16:40:00+04:00 Dubai,17.637035369873047°C,29.293743133544922%,51.52759552001953%
2023-04-09T16:45:00+04:00 Dubai,17.637035369873047°C,29.293743133544922%,51.67250061035156%
2023-04-09T16:50:00+04:00 Dubai,17.637035369873047°C,29.293743133544922%,51.52907943725586%
2023-04-09T16:55:00+04:00 Dubai,17.637035369873047°C,29.293743133544922%,51.97588348388672%
2023-04-09T17:00:00+04:00 Dubai,17.637035369873047°C,29.293743133544922%,51.68632888793945%
2023-04-09T17:05:00+04:00 Dubai,17.637035369873047°C,29.293743133544922%,51.881553649902344%
2023-04-09T17:10:00+04:00 Dubai,17.637035369873047°C,29.293743133544922%,51.95820617675781%
2023-04-09T17:15:00+04:00 Dubai,17.637035369873047°C,29.293743133544922%,52.000850677490234%
2023-04-09T17:20:00+04:00 Dubai,17.637035369873047°C,29.293743133544922%,52.45707321166992%
2023-04-09T17:25:00+04:00 Dubai,17.488340377807617°C,29.293743133544922%,52.0396728515625%
2023-04-09T17:30:00+04:00 Dubai,17.488340377807617°C,29.293743133544922%,52.03002166748047%
2023-04-09T17:35:00+04:00 Dubai,17.488340377807617°C,28.18560218811035%,51.5270881652832%
2023-04-09T17:40:00+04:00 Dubai,17.488340377807617°C,27.11066246032715%,51.98973846435547%
2023-04-09T17:45:00+04:00 Dubai,17.33771324157715°C,25.858182907104492%,51.82703399658203%
2023-04-09T17:50:00+04:00 Dubai,17.33771324157715°C,24.83974266052246%,51.946842193603516%
2023-04-09T17:55:00+04:00 Dubai,17.189102172851562°C,23.577699661254883%,51.5217170715332%
2023-04-09T18:00:00+04:00 Dubai,17.49185562133789°C,23.77562713623047%,51.49449920654297%
2023-04-09T18:05:00+04:00 Dubai,17.642772674560547°C,23.77562713623047%,50.752593994140625%
2023-04-09T18:10:00+04:00 Dubai,17.791353225708008°C,23.77562713623047%,50.83672332763672%
2023-04-09T18:15:00+04:00 Dubai,17.791353225708008°C,23.77562713623047%,50.132747650146484%
2023-04-09T18:20:00+04:00 Dubai,17.791353225708008°C,23.77562713623047%,49.71809768676758%
2023-04-09T18:25:00+04:00 Dubai,17.640241622924805°C,23.77562713623047%,48.91777038574219%
2023-04-09T18:30:00+04:00 Dubai,17.640241622924805°C,23.77562713623047%,49.11262512207031%
2023-04-09T18:35:00+04:00 Dubai,17.491682052612305°C,23.77562713623047%,48.337589263916016%
2023-04-09T18:40:00+04:00 Dubai,17.491682052612305°C,23.77562713623047%,48.50209426879883%
2023-04-09T18:45:00+04:00 Dubai,17.491682052612305°C,22.702425003051758%,48.50844955444336%
2023-04-09T18:50:00+04:00 Dubai,17.491682052612305°C,22.702425003051758%,48.44635772705078%
2023-04-09T18:55:00+04:00 Dubai,17.491682052612305°C,21.557546615600586%,48.202266693115234%
2023-04-09T19:00:00+04:00 Dubai,17.34200096130371°C,20.336238861083984%,48.13983917236328%
2023-04-09T19:05:00+04:00 Dubai,17.34200096130371°C,18.284381866455078%,49.730712890625%
2023-04-09T19:10:00+04:00 Dubai,17.34200096130371°C,18.284381866455078%,49.386348724365234%
2023-04-09T19:15:00+04:00 Dubai,17.34200096130371°C,17.173009872436523%,49.548072814941406%
2023-04-09T19:20:00+04:00 Dubai,17.34200096130371°C,16.022216796875%,49.390289306640625%
2023-04-09T19:25:00+04:00 Dubai,17.640073776245117°C,16.022216796875%,48.653926849365234%
2023-04-09T19:30:00+04:00 Dubai,18.24871253967285°C,16.022216796875%,48.7077751159668%
2023-04-09T19:35:00+04:00 Dubai,18.55126190185547°C,17.051109313964844%,47.457828521728516%
2023-04-09T19:40:00+04:00 Dubai,18.700069427490234°C,19.544742584228516%,47.43118667602539%
