Timestamp,val,discharge_Chilled_Water_Cool_Valve_Cmd_AHU_01_B1_Copy
2023-06-26T05:55:00+04:00 Dubai,23.18189811706543°C,30.231903076171875%
2023-06-26T06:00:00+04:00 Dubai,23.18189811706543°C,30.231903076171875%
2023-06-26T06:05:00+04:00 Dubai,23.18189811706543°C,42.7702751159668%
2023-06-26T06:10:00+04:00 Dubai,23.18189811706543°C,42.7702751159668%
2023-06-26T06:15:00+04:00 Dubai,23.18189811706543°C,42.7702751159668%
2023-06-26T06:20:00+04:00 Dubai,23.18189811706543°C,42.7702751159668%
2023-06-26T06:25:00+04:00 Dubai,23.18189811706543°C,42.7702751159668%
2023-06-26T06:30:00+04:00 Dubai,23.18189811706543°C,42.7702751159668%
2023-06-26T06:35:00+04:00 Dubai,23.18189811706543°C,42.7702751159668%
2023-06-26T06:40:00+04:00 Dubai,23.18189811706543°C,42.7702751159668%
2023-06-26T06:45:00+04:00 Dubai,23.33061408996582°C,42.7702751159668%
2023-06-26T06:50:00+04:00 Dubai,23.33061408996582°C,42.7702751159668%
2023-06-26T06:55:00+04:00 Dubai,23.33061408996582°C,42.7702751159668%
2023-06-26T07:00:00+04:00 Dubai,23.33061408996582°C,42.7702751159668%
2023-06-26T07:05:00+04:00 Dubai,23.33061408996582°C,46.616127014160156%
2023-06-26T07:10:00+04:00 Dubai,23.33061408996582°C,52.775604248046875%
2023-06-26T07:15:00+04:00 Dubai,23.479785919189453°C,55.656028747558594%
2023-06-26T07:20:00+04:00 Dubai,23.479785919189453°C,56.79888153076172%
2023-06-26T07:25:00+04:00 Dubai,23.628978729248047°C,59.536659240722656%
2023-06-26T07:30:00+04:00 Dubai,23.628978729248047°C,60.730125427246094%
2023-06-26T07:35:00+04:00 Dubai,23.628978729248047°C,63.110939025878906%
2023-06-26T07:40:00+04:00 Dubai,23.628978729248047°C,64.17298126220703%
2023-06-26T07:45:00+04:00 Dubai,23.777673721313477°C,66.68022155761719%
2023-06-26T07:50:00+04:00 Dubai,23.777673721313477°C,68.81803894042969%
2023-06-26T07:55:00+04:00 Dubai,23.777673721313477°C,70.08509826660156%
2023-06-26T08:00:00+04:00 Dubai,23.777673721313477°C,72.2174301147461%
2023-06-26T08:05:00+04:00 Dubai,23.92679214477539°C,73.68045043945312%
2023-06-26T08:10:00+04:00 Dubai,23.92679214477539°C,75.75337219238281%
2023-06-26T08:15:00+04:00 Dubai,24.075950622558594°C,77.35211944580078%
2023-06-26T08:20:00+04:00 Dubai,24.075950622558594°C,80.36683654785156%
2023-06-26T08:25:00+04:00 Dubai,24.075950622558594°C,81.5271987915039%
2023-06-26T08:30:00+04:00 Dubai,24.075950622558594°C,84.11306762695312%
2023-06-26T08:35:00+04:00 Dubai,24.22463035583496°C,86.64226531982422%
2023-06-26T08:40:00+04:00 Dubai,24.22463035583496°C,87.84953308105469%
2023-06-26T08:45:00+04:00 Dubai,24.22463035583496°C,90.2498779296875%
