ts,DMC Building 1 Data Quality Tests Dup of AHU_04_B1 Return Air Temp,DMC Building 1 Data Quality Tests New-Point
2023-03-14T21:10:00+04:00 Dubai,24.269638061523438°C,33.13233184814453%
2023-03-14T21:15:00+04:00 Dubai,24.269638061523438°C,33.13233184814453%
2023-03-14T21:20:00+04:00 Dubai,24.269638061523438°C,33.13233184814453%
2023-03-14T21:25:00+04:00 Dubai,24.269638061523438°C,33.13233184814453%
2023-03-14T21:30:00+04:00 Dubai,24.269638061523438°C,33.13233184814453%
2023-03-14T21:35:00+04:00 Dubai,24.269638061523438°C,33.13233184814453%
2023-03-14T21:40:00+04:00 Dubai,24.269638061523438°C,33.13233184814453%
2023-03-14T21:45:00+04:00 Dubai,24.269638061523438°C,33.13233184814453%
2023-03-14T21:50:00+04:00 Dubai,24.269638061523438°C,33.13233184814453%
2023-03-14T21:55:00+04:00 Dubai,24.269638061523438°C,33.13233184814453%
2023-03-14T22:00:00+04:00 Dubai,24.269638061523438°C,33.13233184814453%
2023-03-14T22:05:00+04:00 Dubai,24.269638061523438°C,33.13233184814453%
2023-03-14T22:10:00+04:00 Dubai,24.269638061523438°C,33.13233184814453%
2023-03-14T22:15:00+04:00 Dubai,24.269638061523438°C,33.13233184814453%
2023-03-14T22:20:00+04:00 Dubai,24.269638061523438°C,33.13233184814453%
2023-03-14T22:25:00+04:00 Dubai,24.269638061523438°C,33.13233184814453%
2023-03-14T22:30:00+04:00 Dubai,24.269638061523438°C,33.13233184814453%
2023-03-14T22:35:00+04:00 Dubai,24.269638061523438°C,33.13233184814453%
2023-03-14T22:40:00+04:00 Dubai,24.121078491210938°C,33.13233184814453%
2023-03-14T22:45:00+04:00 Dubai,24.121078491210938°C,33.13233184814453%
2023-03-14T22:50:00+04:00 Dubai,24.121078491210938°C,33.13233184814453%
2023-03-14T22:55:00+04:00 Dubai,24.121078491210938°C,33.13233184814453%
2023-03-14T23:00:00+04:00 Dubai,24.121078491210938°C,33.13233184814453%
2023-03-14T23:05:00+04:00 Dubai,24.121078491210938°C,33.13233184814453%
2023-03-14T23:10:00+04:00 Dubai,24.121078491210938°C,33.13233184814453%
2023-03-14T23:15:00+04:00 Dubai,24.121078491210938°C,33.13233184814453%
2023-03-14T23:20:00+04:00 Dubai,24.121078491210938°C,33.13233184814453%
2023-03-14T23:25:00+04:00 Dubai,24.121078491210938°C,33.13233184814453%
2023-03-14T23:30:00+04:00 Dubai,24.121078491210938°C,33.13233184814453%
2023-03-14T23:35:00+04:00 Dubai,24.121078491210938°C,33.13233184814453%
2023-03-14T23:40:00+04:00 Dubai,24.121078491210938°C,33.13233184814453%
2023-03-14T23:45:00+04:00 Dubai,24.121078491210938°C,33.13233184814453%
2023-03-14T23:50:00+04:00 Dubai,24.121078491210938°C,33.13233184814453%
2023-03-14T23:55:00+04:00 Dubai,24.121078491210938°C,33.13233184814453%
2023-03-15T00:00:00+04:00 Dubai,24.121078491210938°C,0%
2023-03-15T00:05:00+04:00 Dubai,24.121078491210938°C,3.5580663681030273%
2023-03-15T00:10:00+04:00 Dubai,24.121078491210938°C,25.683454513549805%
2023-03-15T00:15:00+04:00 Dubai,24.121078491210938°C,29.783737182617188%
2023-03-15T00:20:00+04:00 Dubai,24.121078491210938°C,32.08261489868164%
2023-03-15T00:25:00+04:00 Dubai,24.121078491210938°C,33.15494918823242%
2023-03-15T00:30:00+04:00 Dubai,24.121078491210938°C,35.762916564941406%
2023-03-15T00:35:00+04:00 Dubai,24.121078491210938°C,34.15357971191406%
2023-03-15T00:40:00+04:00 Dubai,24.121078491210938°C,34.15357971191406%
2023-03-15T00:45:00+04:00 Dubai,24.121078491210938°C,34.15357971191406%
2023-03-15T00:50:00+04:00 Dubai,24.121078491210938°C,34.15357971191406%
2023-03-15T00:55:00+04:00 Dubai,24.121078491210938°C,34.15357971191406%
2023-03-15T01:00:00+04:00 Dubai,24.121078491210938°C,34.15357971191406%
2023-03-15T01:05:00+04:00 Dubai,24.121078491210938°C,34.15357971191406%
2023-03-15T01:10:00+04:00 Dubai,24.121078491210938°C,34.15357971191406%
2023-03-15T01:15:00+04:00 Dubai,24.121078491210938°C,34.15357971191406%
2023-03-15T01:20:00+04:00 Dubai,24.121078491210938°C,34.15357971191406%
2023-03-15T01:25:00+04:00 Dubai,24.121078491210938°C,34.15357971191406%
2023-03-15T01:30:00+04:00 Dubai,24.121078491210938°C,34.15357971191406%
2023-03-15T01:35:00+04:00 Dubai,24.270965576171875°C,34.15357971191406%
2023-03-15T01:40:00+04:00 Dubai,24.270965576171875°C,34.15357971191406%
2023-03-15T01:45:00+04:00 Dubai,24.270965576171875°C,34.15357971191406%
2023-03-15T01:50:00+04:00 Dubai,24.270965576171875°C,34.15357971191406%
2023-03-15T01:55:00+04:00 Dubai,24.270965576171875°C,34.15357971191406%
2023-03-15T02:00:00+04:00 Dubai,24.270965576171875°C,34.15357971191406%
2023-03-15T02:05:00+04:00 Dubai,24.270965576171875°C,34.15357971191406%
2023-03-15T02:10:00+04:00 Dubai,24.270965576171875°C,34.15357971191406%
2023-03-15T02:15:00+04:00 Dubai,24.270965576171875°C,34.15357971191406%
2023-03-15T02:20:00+04:00 Dubai,24.270965576171875°C,34.15357971191406%
2023-03-15T02:25:00+04:00 Dubai,24.270965576171875°C,34.15357971191406%
2023-03-15T02:30:00+04:00 Dubai,24.270965576171875°C,34.15357971191406%
2023-03-15T02:35:00+04:00 Dubai,24.270965576171875°C,34.15357971191406%
2023-03-15T02:40:00+04:00 Dubai,24.270965576171875°C,34.15357971191406%
2023-03-15T02:45:00+04:00 Dubai,24.270965576171875°C,34.15357971191406%
2023-03-15T02:50:00+04:00 Dubai,24.270965576171875°C,34.15357971191406%
2023-03-15T02:55:00+04:00 Dubai,24.270965576171875°C,34.15357971191406%
2023-03-15T03:00:00+04:00 Dubai,24.270965576171875°C,34.15357971191406%
2023-03-15T03:05:00+04:00 Dubai,24.270965576171875°C,34.15357971191406%
2023-03-15T03:10:00+04:00 Dubai,24.121471405029297°C,34.15357971191406%
2023-03-15T03:15:00+04:00 Dubai,23.971323013305664°C,34.15357971191406%
2023-03-15T03:20:00+04:00 Dubai,23.822233200073242°C,34.15357971191406%
2023-03-15T03:25:00+04:00 Dubai,23.822233200073242°C,34.15357971191406%
2023-03-15T03:30:00+04:00 Dubai,23.822233200073242°C,34.15357971191406%
2023-03-15T03:35:00+04:00 Dubai,23.67237091064453°C,34.15357971191406%
2023-03-15T03:40:00+04:00 Dubai,23.67237091064453°C,34.15357971191406%
2023-03-15T03:45:00+04:00 Dubai,23.67237091064453°C,34.15357971191406%
2023-03-15T03:50:00+04:00 Dubai,23.523040771484375°C,34.15357971191406%
2023-03-15T03:55:00+04:00 Dubai,23.523040771484375°C,34.15357971191406%
2023-03-15T04:00:00+04:00 Dubai,23.523040771484375°C,34.15357971191406%
2023-03-15T04:05:00+04:00 Dubai,23.523040771484375°C,34.15357971191406%
2023-03-15T04:10:00+04:00 Dubai,23.523040771484375°C,34.15357971191406%
2023-03-15T04:15:00+04:00 Dubai,23.523040771484375°C,34.15357971191406%
2023-03-15T04:20:00+04:00 Dubai,23.373931884765625°C,34.15357971191406%
2023-03-15T04:25:00+04:00 Dubai,23.373931884765625°C,34.15357971191406%
2023-03-15T04:30:00+04:00 Dubai,23.373931884765625°C,34.15357971191406%
2023-03-15T04:35:00+04:00 Dubai,23.373931884765625°C,34.15357971191406%
2023-03-15T04:40:00+04:00 Dubai,23.373931884765625°C,34.15357971191406%
2023-03-15T04:45:00+04:00 Dubai,23.373931884765625°C,34.15357971191406%
2023-03-15T04:50:00+04:00 Dubai,23.373931884765625°C,34.15357971191406%
2023-03-15T04:55:00+04:00 Dubai,23.373931884765625°C,34.15357971191406%
2023-03-15T05:00:00+04:00 Dubai,23.373931884765625°C,34.15357971191406%
2023-03-15T05:05:00+04:00 Dubai,23.373931884765625°C,34.15357971191406%
2023-03-15T05:10:00+04:00 Dubai,23.373931884765625°C,34.15357971191406%
2023-03-15T05:15:00+04:00 Dubai,23.373931884765625°C,34.15357971191406%
2023-03-15T05:20:00+04:00 Dubai,23.373931884765625°C,34.15357971191406%
2023-03-15T05:25:00+04:00 Dubai,23.373931884765625°C,34.15357971191406%
2023-03-15T05:30:00+04:00 Dubai,23.373931884765625°C,34.15357971191406%
2023-03-15T05:35:00+04:00 Dubai,23.373931884765625°C,34.15357971191406%
2023-03-15T05:40:00+04:00 Dubai,23.373931884765625°C,34.15357971191406%
2023-03-15T05:45:00+04:00 Dubai,23.52307891845703°C,34.15357971191406%
2023-03-15T05:50:00+04:00 Dubai,23.52307891845703°C,34.15357971191406%
2023-03-15T05:55:00+04:00 Dubai,23.52307891845703°C,34.15357971191406%
2023-03-15T06:00:00+04:00 Dubai,23.52307891845703°C,34.15357971191406%
2023-03-15T06:05:00+04:00 Dubai,23.52307891845703°C,34.15357971191406%
2023-03-15T06:10:00+04:00 Dubai,23.52307891845703°C,34.15357971191406%
2023-03-15T06:15:00+04:00 Dubai,23.671649932861328°C,34.15357971191406%
2023-03-15T06:20:00+04:00 Dubai,23.671649932861328°C,34.15357971191406%
2023-03-15T06:25:00+04:00 Dubai,23.671649932861328°C,34.15357971191406%
2023-03-15T06:30:00+04:00 Dubai,23.671649932861328°C,34.15357971191406%
2023-03-15T06:35:00+04:00 Dubai,23.671649932861328°C,34.15357971191406%
2023-03-15T06:40:00+04:00 Dubai,23.82019805908203°C,34.15357971191406%
2023-03-15T06:45:00+04:00 Dubai,23.82019805908203°C,34.15357971191406%
2023-03-15T06:50:00+04:00 Dubai,23.82019805908203°C,34.15357971191406%
2023-03-15T06:55:00+04:00 Dubai,23.82019805908203°C,34.15357971191406%
2023-03-15T07:00:00+04:00 Dubai,23.82019805908203°C,34.15357971191406%
2023-03-15T07:05:00+04:00 Dubai,23.82019805908203°C,34.15357971191406%
2023-03-15T07:10:00+04:00 Dubai,23.82019805908203°C,34.15357971191406%
2023-03-15T07:15:00+04:00 Dubai,23.82019805908203°C,34.15357971191406%
2023-03-15T07:20:00+04:00 Dubai,23.82019805908203°C,34.15357971191406%
2023-03-15T07:25:00+04:00 Dubai,23.82019805908203°C,34.15357971191406%
2023-03-15T07:30:00+04:00 Dubai,23.82019805908203°C,34.15357971191406%
2023-03-15T07:35:00+04:00 Dubai,23.82019805908203°C,34.15357971191406%
2023-03-15T07:40:00+04:00 Dubai,23.82019805908203°C,34.15357971191406%
2023-03-15T07:45:00+04:00 Dubai,23.970203399658203°C,34.15357971191406%
2023-03-15T07:50:00+04:00 Dubai,23.970203399658203°C,34.15357971191406%
2023-03-15T07:55:00+04:00 Dubai,23.970203399658203°C,34.15357971191406%
2023-03-15T08:00:00+04:00 Dubai,23.970203399658203°C,34.15357971191406%
2023-03-15T08:05:00+04:00 Dubai,23.970203399658203°C,34.15357971191406%
2023-03-15T08:10:00+04:00 Dubai,24.119205474853516°C,34.15357971191406%
2023-03-15T08:15:00+04:00 Dubai,24.119205474853516°C,34.15357971191406%
2023-03-15T08:20:00+04:00 Dubai,24.119205474853516°C,34.15357971191406%
2023-03-15T08:25:00+04:00 Dubai,24.26778221130371°C,35.19244384765625%
2023-03-15T08:30:00+04:00 Dubai,24.26778221130371°C,35.19244384765625%
2023-03-15T08:35:00+04:00 Dubai,24.26778221130371°C,36.32289505004883%
2023-03-15T08:40:00+04:00 Dubai,24.26778221130371°C,37.423614501953125%
2023-03-15T08:45:00+04:00 Dubai,24.416704177856445°C,39.80711364746094%
2023-03-15T08:50:00+04:00 Dubai,24.416704177856445°C,39.22499084472656%
2023-03-15T08:55:00+04:00 Dubai,24.416704177856445°C,39.22499084472656%
2023-03-15T09:00:00+04:00 Dubai,24.416704177856445°C,39.22499084472656%
2023-03-15T09:05:00+04:00 Dubai,24.565509796142578°C,39.22499084472656%
2023-03-15T09:10:00+04:00 Dubai,24.565509796142578°C,39.22499084472656%
2023-03-15T09:15:00+04:00 Dubai,24.565509796142578°C,39.22499084472656%
2023-03-15T09:20:00+04:00 Dubai,24.565509796142578°C,39.22499084472656%
2023-03-15T09:25:00+04:00 Dubai,24.565509796142578°C,39.22499084472656%
2023-03-15T09:30:00+04:00 Dubai,24.565509796142578°C,39.22499084472656%
2023-03-15T09:35:00+04:00 Dubai,24.565509796142578°C,40.23213195800781%
2023-03-15T09:40:00+04:00 Dubai,24.565509796142578°C,41.509620666503906%
2023-03-15T09:45:00+04:00 Dubai,24.565509796142578°C,43.95655822753906%
2023-03-15T09:50:00+04:00 Dubai,24.565509796142578°C,43.814273834228516%
2023-03-15T09:55:00+04:00 Dubai,24.565509796142578°C,43.814273834228516%
2023-03-15T10:00:00+04:00 Dubai,24.565509796142578°C,43.814273834228516%
2023-03-15T10:05:00+04:00 Dubai,24.565509796142578°C,43.814273834228516%
2023-03-15T10:10:00+04:00 Dubai,24.565509796142578°C,71.34454345703125%
2023-03-15T10:15:00+04:00 Dubai,24.715896606445312°C,52.938411712646484%
2023-03-15T10:20:00+04:00 Dubai,24.715896606445312°C,52.938411712646484%
2023-03-15T10:25:00+04:00 Dubai,24.566255569458008°C,52.938411712646484%
2023-03-15T10:30:00+04:00 Dubai,24.566255569458008°C,64.44990539550781%
2023-03-15T10:35:00+04:00 Dubai,24.566255569458008°C,88.4961166381836%
2023-03-15T10:40:00+04:00 Dubai,24.566255569458008°C,66.92827606201172%
2023-03-15T10:45:00+04:00 Dubai,24.566255569458008°C,66.92827606201172%
2023-03-15T10:50:00+04:00 Dubai,24.566255569458008°C,66.92827606201172%
2023-03-15T10:55:00+04:00 Dubai,24.566255569458008°C,61.149864196777344%
2023-03-15T11:00:00+04:00 Dubai,24.566255569458008°C,58.6109619140625%
2023-03-15T11:05:00+04:00 Dubai,24.566255569458008°C,57.390533447265625%
2023-03-15T11:10:00+04:00 Dubai,24.566255569458008°C,56.35865783691406%
2023-03-15T11:15:00+04:00 Dubai,24.566255569458008°C,55.09959411621094%
2023-03-15T11:20:00+04:00 Dubai,24.566255569458008°C,55.09959411621094%
2023-03-15T11:25:00+04:00 Dubai,24.566255569458008°C,55.09959411621094%
2023-03-15T11:30:00+04:00 Dubai,24.566255569458008°C,55.09959411621094%
2023-03-15T11:35:00+04:00 Dubai,24.566255569458008°C,55.09959411621094%
2023-03-15T11:40:00+04:00 Dubai,24.71763801574707°C,80.76388549804688%
2023-03-15T11:45:00+04:00 Dubai,24.867053985595703°C,100%
2023-03-15T11:50:00+04:00 Dubai,25.16582489013672°C,100%
2023-03-15T11:55:00+04:00 Dubai,25.4643497467041°C,100%
2023-03-15T12:00:00+04:00 Dubai,25.614126205444336°C,100%
2023-03-15T12:05:00+04:00 Dubai,25.76412010192871°C,100%
2023-03-15T12:10:00+04:00 Dubai,25.612306594848633°C,100%
2023-03-15T12:15:00+04:00 Dubai,25.312612533569336°C,100%
2023-03-15T12:20:00+04:00 Dubai,25.162805557250977°C,98.7874526977539%
2023-03-15T12:25:00+04:00 Dubai,25.014190673828125°C,98.7874526977539%
2023-03-15T12:30:00+04:00 Dubai,24.863842010498047°C,98.7874526977539%
2023-03-15T12:35:00+04:00 Dubai,24.863842010498047°C,98.7874526977539%
2023-03-15T12:40:00+04:00 Dubai,24.71432876586914°C,98.7874526977539%
2023-03-15T12:45:00+04:00 Dubai,24.71432876586914°C,98.7874526977539%
2023-03-15T12:50:00+04:00 Dubai,24.71432876586914°C,98.7874526977539%
2023-03-15T12:55:00+04:00 Dubai,24.71432876586914°C,98.7874526977539%
2023-03-15T13:00:00+04:00 Dubai,24.565778732299805°C,98.7874526977539%
2023-03-15T13:05:00+04:00 Dubai,24.565778732299805°C,98.7874526977539%
2023-03-15T13:10:00+04:00 Dubai,24.565778732299805°C,98.7874526977539%
2023-03-15T13:15:00+04:00 Dubai,24.417030334472656°C,95.36155700683594%
2023-03-15T13:20:00+04:00 Dubai,24.417030334472656°C,91.98958587646484%
2023-03-15T13:25:00+04:00 Dubai,24.417030334472656°C,87.61073303222656%
2023-03-15T13:30:00+04:00 Dubai,24.268146514892578°C,86.5030288696289%
2023-03-15T13:35:00+04:00 Dubai,24.268146514892578°C,86.5030288696289%
2023-03-15T13:40:00+04:00 Dubai,24.268146514892578°C,82.85928344726562%
2023-03-15T13:45:00+04:00 Dubai,24.268146514892578°C,80.32838439941406%
2023-03-15T13:50:00+04:00 Dubai,24.119218826293945°C,75.2165756225586%
2023-03-15T13:55:00+04:00 Dubai,24.119218826293945°C,73.99736022949219%
2023-03-15T14:00:00+04:00 Dubai,24.119218826293945°C,72.95803833007812%
2023-03-15T14:05:00+04:00 Dubai,24.119218826293945°C,72.95803833007812%
2023-03-15T14:10:00+04:00 Dubai,24.119218826293945°C,""
2023-03-15T14:15:00+04:00 Dubai,24.119218826293945°C,""
2023-03-15T14:20:00+04:00 Dubai,24.119218826293945°C,""
2023-03-15T14:25:00+04:00 Dubai,24.119218826293945°C,70.82470703125%
2023-03-15T14:30:00+04:00 Dubai,24.119218826293945°C,70.82470703125%
2023-03-15T14:35:00+04:00 Dubai,24.119218826293945°C,70.82470703125%
2023-03-15T14:40:00+04:00 Dubai,24.119218826293945°C,70.82470703125%
2023-03-15T14:45:00+04:00 Dubai,24.119218826293945°C,70.82470703125%
2023-03-15T14:50:00+04:00 Dubai,24.119218826293945°C,69.76273345947266%
2023-03-15T14:55:00+04:00 Dubai,24.119218826293945°C,69.76273345947266%
2023-03-15T15:00:00+04:00 Dubai,24.119218826293945°C,69.76273345947266%
2023-03-15T15:05:00+04:00 Dubai,24.119218826293945°C,69.76273345947266%
2023-03-15T15:10:00+04:00 Dubai,24.119218826293945°C,69.76273345947266%
2023-03-15T15:15:00+04:00 Dubai,24.119218826293945°C,69.76273345947266%
2023-03-15T15:20:00+04:00 Dubai,24.119218826293945°C,69.76273345947266%
2023-03-15T15:25:00+04:00 Dubai,24.119218826293945°C,69.76273345947266%
2023-03-15T15:30:00+04:00 Dubai,24.119218826293945°C,69.76273345947266%
2023-03-15T15:35:00+04:00 Dubai,24.119218826293945°C,69.76273345947266%
2023-03-15T15:40:00+04:00 Dubai,24.119218826293945°C,69.76273345947266%
2023-03-15T15:45:00+04:00 Dubai,24.268239974975586°C,69.76273345947266%
2023-03-15T15:50:00+04:00 Dubai,24.268239974975586°C,69.76273345947266%
2023-03-15T15:55:00+04:00 Dubai,24.268239974975586°C,69.76273345947266%
2023-03-15T16:00:00+04:00 Dubai,24.268239974975586°C,69.76273345947266%
2023-03-15T16:05:00+04:00 Dubai,24.268239974975586°C,69.76273345947266%
2023-03-15T16:10:00+04:00 Dubai,24.268239974975586°C,69.76273345947266%
2023-03-15T16:15:00+04:00 Dubai,24.268239974975586°C,69.76273345947266%
2023-03-15T16:20:00+04:00 Dubai,24.268239974975586°C,69.76273345947266%
2023-03-15T16:25:00+04:00 Dubai,24.268239974975586°C,69.76273345947266%
