Timestamp,val,discharge_Chilled_Water_Cool_Valve_Cmd_AHU_01_B1,discharge_Fan_Vfd_Speed_Sensor_AHU_01_B1
2023-03-02T14:05:00+04:00 Dubai,23.808223724365234°C,41.660518646240234%,61.80454635620117%
2023-03-02T14:10:00+04:00 Dubai,23.808223724365234°C,41.660518646240234%,61.66957473754883%
2023-03-02T14:15:00+04:00 Dubai,23.808223724365234°C,41.660518646240234%,61.40765380859375%
2023-03-02T14:20:00+04:00 Dubai,23.808223724365234°C,41.660518646240234%,61.64132308959961%
2023-03-02T14:25:00+04:00 Dubai,23.808223724365234°C,41.660518646240234%,61.65944290161133%
2023-03-02T14:30:00+04:00 Dubai,23.808223724365234°C,41.660518646240234%,61.18934631347656%
2023-03-02T14:35:00+04:00 Dubai,23.808223724365234°C,41.660518646240234%,61.188690185546875%
2023-03-02T14:40:00+04:00 Dubai,23.808223724365234°C,41.660518646240234%,61.26985549926758%
2023-03-02T14:45:00+04:00 Dubai,23.808223724365234°C,41.660518646240234%,60.828304290771484%
2023-03-02T14:50:00+04:00 Dubai,23.808223724365234°C,41.660518646240234%,61.18623352050781%
2023-03-02T14:55:00+04:00 Dubai,23.808223724365234°C,41.660518646240234%,60.7308464050293%
2023-03-02T15:00:00+04:00 Dubai,23.808223724365234°C,41.660518646240234%,60.64874267578125%
2023-03-02T15:05:00+04:00 Dubai,23.808223724365234°C,41.660518646240234%,60.7242546081543%
2023-03-02T15:10:00+04:00 Dubai,23.808223724365234°C,41.660518646240234%,60.371822357177734%
2023-03-02T15:15:00+04:00 Dubai,23.808223724365234°C,41.660518646240234%,60.737606048583984%
2023-03-02T15:20:00+04:00 Dubai,23.808223724365234°C,41.660518646240234%,60.65623474121094%
2023-03-02T15:25:00+04:00 Dubai,23.808223724365234°C,41.660518646240234%,60.45793914794922%
2023-03-02T15:30:00+04:00 Dubai,23.808223724365234°C,41.660518646240234%,60.71542739868164%
2023-03-02T15:35:00+04:00 Dubai,23.808223724365234°C,41.660518646240234%,60.732845306396484%
2023-03-02T15:40:00+04:00 Dubai,23.808223724365234°C,41.660518646240234%,61.30853271484375%
2023-03-02T15:45:00+04:00 Dubai,23.808223724365234°C,41.660518646240234%,61.492435455322266%
2023-03-02T15:50:00+04:00 Dubai,23.808223724365234°C,41.660518646240234%,61.635826110839844%
2023-03-02T15:55:00+04:00 Dubai,23.808223724365234°C,41.660518646240234%,61.645843505859375%
2023-03-02T16:00:00+04:00 Dubai,23.808223724365234°C,41.660518646240234%,61.77353286743164%
2023-03-02T16:05:00+04:00 Dubai,23.808223724365234°C,41.660518646240234%,61.65340042114258%
2023-03-02T16:10:00+04:00 Dubai,23.959514617919922°C,41.660518646240234%,61.873779296875%
2023-03-02T16:15:00+04:00 Dubai,23.959514617919922°C,41.660518646240234%,62.177764892578125%
2023-03-02T16:20:00+04:00 Dubai,23.959514617919922°C,41.660518646240234%,62.470619201660156%
2023-03-02T16:25:00+04:00 Dubai,23.959514617919922°C,41.660518646240234%,62.57530212402344%
2023-03-02T16:30:00+04:00 Dubai,23.959514617919922°C,41.660518646240234%,62.86426544189453%
2023-03-02T16:35:00+04:00 Dubai,23.959514617919922°C,41.660518646240234%,62.63875198364258%
