ts,DMC Building 1 Data Quality Tests Discharge-Air-Temp-Sensor Copy,DMC Building 1 Data Quality Tests Discharge-Chilled-Water-Cool-Valve-Cmd Copy
2023-05-01T00:00:00+04:00 Dubai,18.26218605,0
2023-05-01T00:05:00+04:00 Dubai,20.4251194,0.1494
2023-05-01T00:10:00+04:00 Dubai,15.94225693,0.2525
2023-05-01T00:15:00+04:00 Dubai,15.94225693,0.2525
2023-05-01T00:20:00+04:00 Dubai,15.79255676,0.2525
2023-05-01T00:25:00+04:00 Dubai,15.79255676,0.2525
2023-05-01T00:30:00+04:00 Dubai,15.79255676,0.2525
2023-05-01T00:35:00+04:00 Dubai,15.79255676,0.2525
2023-05-01T00:40:00+04:00 Dubai,15.79255676,0.2525
2023-05-01T00:45:00+04:00 Dubai,15.79255676,0.2525
2023-05-01T00:50:00+04:00 Dubai,15.79255676,0.2525
2023-05-01T00:55:00+04:00 Dubai,15.79255676,0.2525
2023-05-01T01:00:00+04:00 Dubai,15.79255676,0.2525
2023-05-01T01:05:00+04:00 Dubai,15.79255676,0.2525
2023-05-01T01:10:00+04:00 Dubai,15.79255676,0.2525
2023-05-01T01:15:00+04:00 Dubai,15.64132214,0.2525
2023-05-01T01:20:00+04:00 Dubai,15.64132214,0.2525
2023-05-01T01:25:00+04:00 Dubai,15.64132214,0.2525
2023-05-01T01:30:00+04:00 Dubai,15.49207687,0.2525
2023-05-01T01:35:00+04:00 Dubai,15.49207687,0.2419
2023-05-01T01:40:00+04:00 Dubai,15.49207687,0.2419
2023-05-01T01:45:00+04:00 Dubai,15.49207687,0.2419
2023-05-01T01:50:00+04:00 Dubai,15.49207687,0.2419
2023-05-01T01:55:00+04:00 Dubai,15.49207687,0.2317
2023-05-01T02:00:00+04:00 Dubai,15.49207687,0.2317
2023-05-01T02:05:00+04:00 Dubai,15.49207687,0.2317
2023-05-01T02:10:00+04:00 Dubai,15.49207687,0.2317
2023-05-01T02:15:00+04:00 Dubai,15.49207687,0.2317
2023-05-01T02:20:00+04:00 Dubai,15.49207687,0.2317
2023-05-01T02:25:00+04:00 Dubai,15.49207687,0.2317
2023-05-01T02:30:00+04:00 Dubai,15.49207687,0.2317
2023-05-01T02:35:00+04:00 Dubai,15.64185619,0.2317
2023-05-01T02:40:00+04:00 Dubai,15.64185619,0.2317
2023-05-01T02:45:00+04:00 Dubai,15.64185619,0.2317
2023-05-01T02:50:00+04:00 Dubai,15.64185619,0.2317
