ts,DMC Building 1 Data Quality Tests Dup of AHU_04_B1 Return Air Temp,DMC Building 1 Data Quality Tests New-Point
2023-03-07T21:05:00+04:00 Dubai,23.522281646728516°C,34.58906555175781%
2023-03-07T21:10:00+04:00 Dubai,23.522281646728516°C,34.58906555175781%
2023-03-07T21:15:00+04:00 Dubai,23.522281646728516°C,34.58906555175781%
2023-03-07T21:20:00+04:00 Dubai,23.522281646728516°C,34.58906555175781%
2023-03-07T21:25:00+04:00 Dubai,23.522281646728516°C,34.58906555175781%
2023-03-07T21:30:00+04:00 Dubai,23.522281646728516°C,34.58906555175781%
2023-03-07T21:35:00+04:00 Dubai,23.522281646728516°C,34.58906555175781%
2023-03-07T21:40:00+04:00 Dubai,23.522281646728516°C,34.58906555175781%
2023-03-07T21:45:00+04:00 Dubai,23.522281646728516°C,34.58906555175781%
2023-03-07T21:50:00+04:00 Dubai,23.522281646728516°C,34.58906555175781%
2023-03-07T21:55:00+04:00 Dubai,23.522281646728516°C,34.58906555175781%
2023-03-07T22:00:00+04:00 Dubai,23.522281646728516°C,34.58906555175781%
2023-03-07T22:05:00+04:00 Dubai,23.522281646728516°C,34.58906555175781%
2023-03-07T22:10:00+04:00 Dubai,23.522281646728516°C,34.58906555175781%
2023-03-07T22:15:00+04:00 Dubai,23.522281646728516°C,34.58906555175781%
2023-03-07T22:20:00+04:00 Dubai,23.522281646728516°C,34.58906555175781%
2023-03-07T22:25:00+04:00 Dubai,23.522281646728516°C,34.58906555175781%
2023-03-07T22:30:00+04:00 Dubai,23.522281646728516°C,34.58906555175781%
2023-03-07T22:35:00+04:00 Dubai,23.522281646728516°C,34.58906555175781%
2023-03-07T22:40:00+04:00 Dubai,23.522281646728516°C,34.58906555175781%
2023-03-07T22:45:00+04:00 Dubai,23.522281646728516°C,34.58906555175781%
2023-03-07T22:50:00+04:00 Dubai,23.522281646728516°C,34.58906555175781%
2023-03-07T22:55:00+04:00 Dubai,23.522281646728516°C,34.58906555175781%
2023-03-07T23:00:00+04:00 Dubai,23.522281646728516°C,34.58906555175781%
2023-03-07T23:05:00+04:00 Dubai,23.522281646728516°C,34.58906555175781%
2023-03-07T23:10:00+04:00 Dubai,23.522281646728516°C,34.58906555175781%
2023-03-07T23:15:00+04:00 Dubai,23.522281646728516°C,34.58906555175781%
2023-03-07T23:20:00+04:00 Dubai,23.522281646728516°C,34.58906555175781%
2023-03-07T23:25:00+04:00 Dubai,23.522281646728516°C,34.58906555175781%
2023-03-07T23:30:00+04:00 Dubai,23.522281646728516°C,34.58906555175781%
2023-03-07T23:35:00+04:00 Dubai,23.522281646728516°C,34.58906555175781%
2023-03-07T23:40:00+04:00 Dubai,23.522281646728516°C,34.58906555175781%
2023-03-07T23:45:00+04:00 Dubai,23.522281646728516°C,34.58906555175781%
2023-03-07T23:50:00+04:00 Dubai,23.522281646728516°C,34.58906555175781%
2023-03-07T23:55:00+04:00 Dubai,23.522281646728516°C,34.58906555175781%
2023-03-08T00:00:00+04:00 Dubai,23.522281646728516°C,0%
2023-03-08T00:05:00+04:00 Dubai,23.522281646728516°C,0%
2023-03-08T00:10:00+04:00 Dubai,23.522281646728516°C,26.049808502197266%
2023-03-08T00:15:00+04:00 Dubai,23.522281646728516°C,25.213882446289062%
2023-03-08T00:20:00+04:00 Dubai,23.522281646728516°C,25.213882446289062%
2023-03-08T00:25:00+04:00 Dubai,23.522281646728516°C,26.221961975097656%
2023-03-08T00:30:00+04:00 Dubai,23.373516082763672°C,27.410293579101562%
2023-03-08T00:35:00+04:00 Dubai,23.373516082763672°C,28.57433319091797%
2023-03-08T00:40:00+04:00 Dubai,23.373516082763672°C,29.578149795532227%
2023-03-08T00:45:00+04:00 Dubai,23.373516082763672°C,30.719440460205078%
2023-03-08T00:50:00+04:00 Dubai,23.373516082763672°C,30.719440460205078%
2023-03-08T00:55:00+04:00 Dubai,23.373516082763672°C,31.79380226135254%
2023-03-08T01:00:00+04:00 Dubai,23.373516082763672°C,31.79380226135254%
2023-03-08T01:05:00+04:00 Dubai,23.373516082763672°C,31.79380226135254%
2023-03-08T01:10:00+04:00 Dubai,23.373516082763672°C,31.79380226135254%
2023-03-08T01:15:00+04:00 Dubai,23.373516082763672°C,31.79380226135254%
2023-03-08T01:20:00+04:00 Dubai,23.373516082763672°C,31.79380226135254%
2023-03-08T01:25:00+04:00 Dubai,23.373516082763672°C,31.79380226135254%
2023-03-08T01:30:00+04:00 Dubai,23.373516082763672°C,31.79380226135254%
2023-03-08T01:35:00+04:00 Dubai,23.373516082763672°C,31.79380226135254%
2023-03-08T01:40:00+04:00 Dubai,23.373516082763672°C,31.79380226135254%
2023-03-08T01:45:00+04:00 Dubai,23.373516082763672°C,31.79380226135254%
2023-03-08T01:50:00+04:00 Dubai,23.373516082763672°C,31.79380226135254%
2023-03-08T01:55:00+04:00 Dubai,23.373516082763672°C,31.79380226135254%
2023-03-08T02:00:00+04:00 Dubai,23.373516082763672°C,31.79380226135254%
2023-03-08T02:05:00+04:00 Dubai,23.373516082763672°C,31.79380226135254%
2023-03-08T02:10:00+04:00 Dubai,23.373516082763672°C,31.79380226135254%
2023-03-08T02:15:00+04:00 Dubai,23.373516082763672°C,31.79380226135254%
2023-03-08T02:20:00+04:00 Dubai,23.373516082763672°C,31.79380226135254%
2023-03-08T02:25:00+04:00 Dubai,23.373516082763672°C,31.79380226135254%
2023-03-08T02:30:00+04:00 Dubai,23.373516082763672°C,31.79380226135254%
2023-03-08T02:35:00+04:00 Dubai,23.373516082763672°C,31.79380226135254%
2023-03-08T02:40:00+04:00 Dubai,23.373516082763672°C,31.79380226135254%
2023-03-08T02:45:00+04:00 Dubai,23.373516082763672°C,31.79380226135254%
2023-03-08T02:50:00+04:00 Dubai,23.373516082763672°C,31.79380226135254%
2023-03-08T02:55:00+04:00 Dubai,23.373516082763672°C,31.79380226135254%
2023-03-08T03:00:00+04:00 Dubai,23.373516082763672°C,31.79380226135254%
2023-03-08T03:05:00+04:00 Dubai,23.373516082763672°C,31.79380226135254%
2023-03-08T03:10:00+04:00 Dubai,23.373516082763672°C,31.79380226135254%
2023-03-08T03:15:00+04:00 Dubai,23.373516082763672°C,31.79380226135254%
2023-03-08T03:20:00+04:00 Dubai,23.373516082763672°C,31.79380226135254%
2023-03-08T03:25:00+04:00 Dubai,23.373516082763672°C,31.79380226135254%
2023-03-08T03:30:00+04:00 Dubai,23.224395751953125°C,31.79380226135254%
2023-03-08T03:35:00+04:00 Dubai,23.224395751953125°C,31.79380226135254%
2023-03-08T03:40:00+04:00 Dubai,23.224395751953125°C,31.79380226135254%
2023-03-08T03:45:00+04:00 Dubai,23.224395751953125°C,31.79380226135254%
2023-03-08T03:50:00+04:00 Dubai,23.224395751953125°C,31.79380226135254%
2023-03-08T03:55:00+04:00 Dubai,23.224395751953125°C,31.79380226135254%
2023-03-08T04:00:00+04:00 Dubai,23.224395751953125°C,31.79380226135254%
2023-03-08T04:05:00+04:00 Dubai,23.224395751953125°C,31.79380226135254%
2023-03-08T04:10:00+04:00 Dubai,23.224395751953125°C,31.79380226135254%
2023-03-08T04:15:00+04:00 Dubai,23.224395751953125°C,31.79380226135254%
2023-03-08T04:20:00+04:00 Dubai,23.224395751953125°C,31.79380226135254%
2023-03-08T04:25:00+04:00 Dubai,23.224395751953125°C,31.79380226135254%
2023-03-08T04:30:00+04:00 Dubai,23.224395751953125°C,31.79380226135254%
2023-03-08T04:35:00+04:00 Dubai,23.224395751953125°C,31.79380226135254%
2023-03-08T04:40:00+04:00 Dubai,23.224395751953125°C,31.79380226135254%
2023-03-08T04:45:00+04:00 Dubai,23.224395751953125°C,31.79380226135254%
2023-03-08T04:50:00+04:00 Dubai,23.224395751953125°C,31.79380226135254%
2023-03-08T04:55:00+04:00 Dubai,23.224395751953125°C,31.79380226135254%
2023-03-08T05:00:00+04:00 Dubai,23.224395751953125°C,31.79380226135254%
