ts,DMC Building 1 Data Quality Tests Dup of AHU_04_B1 Return Air Temp,DMC Building 1 Data Quality Tests New-Point
2023-03-02T09:10:00+04:00 Dubai,23.060773849487305°C,38.15364074707031%
2023-03-02T09:15:00+04:00 Dubai,23.210906982421875°C,38.15364074707031%
2023-03-02T09:20:00+04:00 Dubai,23.210906982421875°C,38.15364074707031%
2023-03-02T09:25:00+04:00 Dubai,23.210906982421875°C,38.15364074707031%
2023-03-02T09:30:00+04:00 Dubai,23.36202621459961°C,38.15364074707031%
2023-03-02T09:35:00+04:00 Dubai,23.36202621459961°C,39.27090072631836%
2023-03-02T09:40:00+04:00 Dubai,23.36202621459961°C,41.48273468017578%
2023-03-02T09:45:00+04:00 Dubai,23.36202621459961°C,43.62654113769531%
2023-03-02T09:50:00+04:00 Dubai,23.510578155517578°C,41.660518646240234%
2023-03-02T09:55:00+04:00 Dubai,23.510578155517578°C,41.660518646240234%
2023-03-02T10:00:00+04:00 Dubai,23.510578155517578°C,41.660518646240234%
2023-03-02T10:05:00+04:00 Dubai,23.510578155517578°C,41.660518646240234%
2023-03-02T10:10:00+04:00 Dubai,23.510578155517578°C,41.660518646240234%
2023-03-02T10:15:00+04:00 Dubai,23.510578155517578°C,41.660518646240234%
2023-03-02T10:20:00+04:00 Dubai,23.510578155517578°C,41.660518646240234%
2023-03-02T10:25:00+04:00 Dubai,23.510578155517578°C,41.660518646240234%
2023-03-02T10:30:00+04:00 Dubai,23.510578155517578°C,41.660518646240234%
2023-03-02T10:35:00+04:00 Dubai,23.510578155517578°C,41.660518646240234%
2023-03-02T10:40:00+04:00 Dubai,23.510578155517578°C,41.660518646240234%
2023-03-02T10:45:00+04:00 Dubai,23.65960121154785°C,41.660518646240234%
2023-03-02T10:50:00+04:00 Dubai,23.65960121154785°C,41.660518646240234%
2023-03-02T10:55:00+04:00 Dubai,23.65960121154785°C,41.660518646240234%
2023-03-02T11:00:00+04:00 Dubai,23.65960121154785°C,41.660518646240234%
2023-03-02T11:05:00+04:00 Dubai,23.65960121154785°C,41.660518646240234%
2023-03-02T11:10:00+04:00 Dubai,23.65960121154785°C,41.660518646240234%
2023-03-02T11:15:00+04:00 Dubai,23.65960121154785°C,41.660518646240234%
2023-03-02T11:20:00+04:00 Dubai,23.65960121154785°C,41.660518646240234%
2023-03-02T11:25:00+04:00 Dubai,23.808223724365234°C,41.660518646240234%
2023-03-02T11:30:00+04:00 Dubai,23.808223724365234°C,41.660518646240234%
2023-03-02T11:35:00+04:00 Dubai,23.808223724365234°C,41.660518646240234%
2023-03-02T11:40:00+04:00 Dubai,23.808223724365234°C,41.660518646240234%
2023-03-02T11:45:00+04:00 Dubai,23.808223724365234°C,41.660518646240234%
2023-03-02T11:50:00+04:00 Dubai,23.808223724365234°C,41.660518646240234%
2023-03-02T11:55:00+04:00 Dubai,23.808223724365234°C,41.660518646240234%
2023-03-02T12:00:00+04:00 Dubai,23.808223724365234°C,41.660518646240234%
2023-03-02T12:05:00+04:00 Dubai,23.808223724365234°C,41.660518646240234%
2023-03-02T12:10:00+04:00 Dubai,23.808223724365234°C,41.660518646240234%
2023-03-02T12:15:00+04:00 Dubai,23.808223724365234°C,41.660518646240234%
2023-03-02T12:20:00+04:00 Dubai,23.808223724365234°C,41.660518646240234%
2023-03-02T12:25:00+04:00 Dubai,23.808223724365234°C,41.660518646240234%
2023-03-02T12:30:00+04:00 Dubai,23.808223724365234°C,41.660518646240234%
2023-03-02T12:35:00+04:00 Dubai,23.808223724365234°C,41.660518646240234%
2023-03-02T12:40:00+04:00 Dubai,23.808223724365234°C,41.660518646240234%
2023-03-02T12:45:00+04:00 Dubai,23.808223724365234°C,41.660518646240234%
2023-03-02T12:50:00+04:00 Dubai,23.808223724365234°C,41.660518646240234%
2023-03-02T12:55:00+04:00 Dubai,23.808223724365234°C,41.660518646240234%
2023-03-02T13:00:00+04:00 Dubai,23.808223724365234°C,41.660518646240234%
2023-03-02T13:05:00+04:00 Dubai,23.808223724365234°C,41.660518646240234%
2023-03-02T13:10:00+04:00 Dubai,23.808223724365234°C,41.660518646240234%
2023-03-02T13:15:00+04:00 Dubai,23.808223724365234°C,41.660518646240234%
2023-03-02T13:20:00+04:00 Dubai,23.808223724365234°C,41.660518646240234%
2023-03-02T13:25:00+04:00 Dubai,23.808223724365234°C,41.660518646240234%
2023-03-02T13:30:00+04:00 Dubai,23.808223724365234°C,41.660518646240234%
2023-03-02T13:35:00+04:00 Dubai,23.808223724365234°C,41.660518646240234%
2023-03-02T13:40:00+04:00 Dubai,23.808223724365234°C,41.660518646240234%
2023-03-02T13:45:00+04:00 Dubai,23.808223724365234°C,41.660518646240234%
2023-03-02T13:50:00+04:00 Dubai,23.808223724365234°C,41.660518646240234%
2023-03-02T13:55:00+04:00 Dubai,23.808223724365234°C,41.660518646240234%
2023-03-02T14:00:00+04:00 Dubai,23.808223724365234°C,41.660518646240234%
2023-03-02T14:05:00+04:00 Dubai,23.808223724365234°C,41.660518646240234%
2023-03-02T14:10:00+04:00 Dubai,23.808223724365234°C,41.660518646240234%
2023-03-02T14:15:00+04:00 Dubai,23.808223724365234°C,41.660518646240234%
2023-03-02T14:20:00+04:00 Dubai,23.808223724365234°C,41.660518646240234%
2023-03-02T14:25:00+04:00 Dubai,23.808223724365234°C,41.660518646240234%
2023-03-02T14:30:00+04:00 Dubai,23.808223724365234°C,41.660518646240234%
2023-03-02T14:35:00+04:00 Dubai,23.808223724365234°C,41.660518646240234%
2023-03-02T14:40:00+04:00 Dubai,23.808223724365234°C,41.660518646240234%
2023-03-02T14:45:00+04:00 Dubai,23.808223724365234°C,41.660518646240234%
2023-03-02T14:50:00+04:00 Dubai,23.808223724365234°C,41.660518646240234%
2023-03-02T14:55:00+04:00 Dubai,23.808223724365234°C,41.660518646240234%
2023-03-02T15:00:00+04:00 Dubai,23.808223724365234°C,41.660518646240234%
2023-03-02T15:05:00+04:00 Dubai,23.808223724365234°C,41.660518646240234%
2023-03-02T15:10:00+04:00 Dubai,23.808223724365234°C,41.660518646240234%
