ts,DMC Building 1 Data Quality Tests Dup of AHU_04_B1 Return Air Temp,DMC Building 1 Data Quality Tests New-Point
2023-03-14T21:10:00+04:00 Dubai,24.269638061523438°C,33.13%
2023-03-14T21:15:00+04:00 Dubai,24.269638061523438°C,33.13%
2023-03-14T21:20:00+04:00 Dubai,24.269638061523438°C,33.13%
2023-03-14T21:25:00+04:00 Dubai,24.269638061523438°C,33.13%
2023-03-14T21:30:00+04:00 Dubai,24.269638061523438°C,33.13%
2023-03-14T21:35:00+04:00 Dubai,24.269638061523438°C,33.13%
2023-03-14T21:40:00+04:00 Dubai,24.269638061523438°C,33.13%
2023-03-14T21:45:00+04:00 Dubai,24.269638061523438°C,33.13%
2023-03-14T21:50:00+04:00 Dubai,24.269638061523438°C,33.13%
2023-03-14T21:55:00+04:00 Dubai,24.269638061523438°C,33.13%
2023-03-14T22:00:00+04:00 Dubai,24.269638061523438°C,33.13%
2023-03-14T22:05:00+04:00 Dubai,24.269638061523438°C,33.13%
2023-03-14T22:10:00+04:00 Dubai,24.269638061523438°C,33.13%
2023-03-14T22:15:00+04:00 Dubai,24.269638061523438°C,33.13%
2023-03-14T22:20:00+04:00 Dubai,24.269638061523438°C,33.13%
2023-03-14T22:25:00+04:00 Dubai,24.269638061523438°C,33.13%
2023-03-14T22:30:00+04:00 Dubai,24.269638061523438°C,33.13%
2023-03-14T22:35:00+04:00 Dubai,24.269638061523438°C,33.13%
2023-03-14T22:40:00+04:00 Dubai,24.121078491210938°C,33.13%
2023-03-14T22:45:00+04:00 Dubai,24.121078491210938°C,33.13%
2023-03-14T22:50:00+04:00 Dubai,24.121078491210938°C,33.13%
2023-03-14T22:55:00+04:00 Dubai,24.121078491210938°C,33.13%
2023-03-14T23:00:00+04:00 Dubai,24.121078491210938°C,33.13%
2023-03-14T23:05:00+04:00 Dubai,24.121078491210938°C,33.13%
2023-03-14T23:10:00+04:00 Dubai,24.121078491210938°C,33.13%
2023-03-14T23:15:00+04:00 Dubai,24.121078491210938°C,33.13%
2023-03-14T23:20:00+04:00 Dubai,24.121078491210938°C,33.13%
2023-03-14T23:25:00+04:00 Dubai,24.121078491210938°C,33.13%
2023-03-14T23:30:00+04:00 Dubai,24.121078491210938°C,33.13%
2023-03-14T23:35:00+04:00 Dubai,24.121078491210938°C,33.13%
2023-03-14T23:40:00+04:00 Dubai,24.121078491210938°C,33.13%
2023-03-14T23:45:00+04:00 Dubai,24.121078491210938°C,33.13%
2023-03-14T23:50:00+04:00 Dubai,24.121078491210938°C,33.13%
2023-03-14T23:55:00+04:00 Dubai,24.121078491210938°C,33.13%
2023-03-15T00:00:00+04:00 Dubai,24.121078491210938°C,0%
2023-03-15T00:05:00+04:00 Dubai,24.121078491210938°C,3.56%
2023-03-15T00:10:00+04:00 Dubai,24.121078491210938°C,25.68%
2023-03-15T00:15:00+04:00 Dubai,24.121078491210938°C,29.78%
2023-03-15T00:20:00+04:00 Dubai,24.121078491210938°C,32.08%
2023-03-15T00:25:00+04:00 Dubai,24.121078491210938°C,33.15%
2023-03-15T00:30:00+04:00 Dubai,24.121078491210938°C,35.76%
2023-03-15T00:35:00+04:00 Dubai,24.121078491210938°C,34.15%
2023-03-15T00:40:00+04:00 Dubai,24.121078491210938°C,34.15%
2023-03-15T00:45:00+04:00 Dubai,24.121078491210938°C,34.15%
2023-03-15T00:50:00+04:00 Dubai,24.121078491210938°C,34.15%
2023-03-15T00:55:00+04:00 Dubai,24.121078491210938°C,34.15%
2023-03-15T01:00:00+04:00 Dubai,24.121078491210938°C,34.15%
2023-03-15T01:05:00+04:00 Dubai,24.121078491210938°C,34.15%
2023-03-15T01:10:00+04:00 Dubai,24.121078491210938°C,34.15%
2023-03-15T01:15:00+04:00 Dubai,24.121078491210938°C,34.15%
2023-03-15T01:20:00+04:00 Dubai,24.121078491210938°C,34.15%
2023-03-15T01:25:00+04:00 Dubai,24.121078491210938°C,34.15%
2023-03-15T01:30:00+04:00 Dubai,24.121078491210938°C,34.15%
2023-03-15T01:35:00+04:00 Dubai,24.270965576171875°C,34.15%
2023-03-15T01:40:00+04:00 Dubai,24.270965576171875°C,34.15%
2023-03-15T01:45:00+04:00 Dubai,24.270965576171875°C,34.15%
2023-03-15T01:50:00+04:00 Dubai,24.270965576171875°C,34.15%
2023-03-15T01:55:00+04:00 Dubai,24.270965576171875°C,34.15%
2023-03-15T02:00:00+04:00 Dubai,24.270965576171875°C,34.15%
2023-03-15T02:05:00+04:00 Dubai,24.270965576171875°C,34.15%
2023-03-15T02:10:00+04:00 Dubai,24.270965576171875°C,34.15%
2023-03-15T02:15:00+04:00 Dubai,24.270965576171875°C,34.15%
2023-03-15T02:20:00+04:00 Dubai,24.270965576171875°C,34.15%
2023-03-15T02:25:00+04:00 Dubai,24.270965576171875°C,34.15%
2023-03-15T02:30:00+04:00 Dubai,24.270965576171875°C,34.15%
2023-03-15T02:35:00+04:00 Dubai,24.270965576171875°C,34.15%
2023-03-15T02:40:00+04:00 Dubai,24.270965576171875°C,34.15%
2023-03-15T02:45:00+04:00 Dubai,24.270965576171875°C,34.15%
2023-03-15T02:50:00+04:00 Dubai,24.270965576171875°C,34.15%
2023-03-15T02:55:00+04:00 Dubai,24.270965576171875°C,34.15%
2023-03-15T03:00:00+04:00 Dubai,24.270965576171875°C,34.15%
2023-03-15T03:05:00+04:00 Dubai,24.270965576171875°C,34.15%
2023-03-15T03:10:00+04:00 Dubai,24.121471405029297°C,34.15%
2023-03-15T03:15:00+04:00 Dubai,23.971323013305664°C,34.15%
